Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.012361,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.034039,0,119,0,117,18,81.129997,-90.000000,33.052216,-200.193619,167.141403,10385,11520,38103,,,,,,,,,,,,
0.084101,0,120,0,118,16,82.080002,-90.000000,28.176144,-189.900726,161.724579,10507,11520,38104,,,,,,,,,,,,
0.112355,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.134098,0,119,0,116,23,78.410004,-90.000000,43.094379,-203.807358,160.712982,10037,11520,38105,,,,,,,,,,,,
0.184141,0,121,0,118,26,77.500000,-90.000000,46.916862,-206.978348,160.061493,9921,11520,38106,,,,,,,,,,,,
0.210353,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.234195,0,120,0,118,16,82.070000,-90.000000,27.228668,-183.260620,156.031952,10506,11520,38107,,,,,,,,,,,,
0.284144,0,119,0,116,24,78.199997,-90.000000,44.400963,-206.494629,162.093658,10010,11520,38108,,,,,,,,,,,,
0.309354,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.334245,0,119,0,117,19,80.650002,-90.000000,33.334846,-192.291946,158.957092,10324,11520,38109,,,,,,,,,,,,
0.384289,0,120,0,118,21,79.790001,-90.000000,37.109818,-197.247162,160.137329,10214,11520,38110,,,,,,,,,,,,
0.409357,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.434312,0,122,0,119,22,79.370003,-90.000000,38.774590,-198.569626,159.795044,10160,11520,38111,,,,,,,,,,,,
0.484348,0,122,0,119,22,79.360001,-90.000000,40.560654,-207.597137,167.036469,10159,11520,38112,,,,,,,,,,,,
0.521368,,,,,,,,,,,,,,0,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.534361,0,121,0,118,25,77.860001,-90.000000,46.233551,-209.552658,163.319107,9967,11520,38113,,,,,,,,,,,,
0.584397,0,126,0,123,26,78.029999,-90.000000,44.552132,-204.496323,159.944183,9989,11520,38114,,,,,,,,,,,,
0.623357,,,,,,,,,,,,,,1,1,0,0,0,485,26,37,638657237530000000,-1,0,0
0.634414,0,121,0,117,26,77.190002,-90.000000,49.095474,-211.767303,162.671829,9881,11520,38115,,,,,,,,,,,,
0.684469,0,124,0,121,25,78.099998,-90.000000,44.419479,-204.997879,160.578400,9998,11520,38116,,,,,,,,,,,,
0.711353,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
0.734491,0,122,0,119,25,77.750000,-90.000000,46.884987,-210.482452,163.597458,9952,11520,38117,,,,,,,,,,,,
0.784537,0,120,0,117,21,79.480003,-90.000000,39.167091,-202.591705,163.424622,10174,11520,38118,,,,,,,,,,,,
0.813369,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
0.834570,0,128,0,125,23,79.620003,-90.000000,37.592918,-196.797989,159.205078,10192,11520,38119,,,,,,,,,,,,
0.884613,0,121,0,119,17,81.800003,-90.000000,28.157104,-183.513412,155.356308,10471,11520,38120,,,,,,,,,,,,
0.934597,0,121,0,118,26,77.559998,-90.000000,46.048527,-204.031860,157.983337,9928,11520,38121,,,,,,,,,,,,
0.970363,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
0.984649,0,121,0,118,24,78.510002,-90.000000,42.866676,-204.375519,161.508850,10050,11520,38122,,,,,,,,,,,,
1.034693,0,122,0,120,16,82.230003,-90.000000,28.590347,-196.032547,167.442200,10526,11520,38123,,,,,,,,,,,,
1.073365,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.084708,0,122,0,120,18,81.080002,-90.000000,32.960571,-198.576965,165.616425,10379,11520,38124,,,,,,,,,,,,
1.109358,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.134748,0,121,0,118,25,77.879997,-90.000000,44.372482,-201.306229,156.933746,9969,11520,38125,,,,,,,,,,,,
1.184800,0,120,0,117,25,77.589996,-90.000000,47.526176,-211.015259,163.489090,9932,11520,38126,,,,,,,,,,,,
1.267375,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.284820,0,123,0,120,22,79.580002,-90.000000,38.440308,-200.560791,162.120499,10187,11520,38128,,,,,,,,,,,,
1.334837,0,121,0,117,27,76.849998,-90.000000,50.427933,-212.301926,161.873993,9838,11520,38129,,,,,,,,,,,,
1.384894,0,124,0,122,21,80.010002,-90.000000,36.967621,-200.566010,163.598389,10242,11520,38130,,,,,,,,,,,,
1.407392,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.408858,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.434936,0,118,0,116,19,80.669998,-90.000000,32.605167,-188.429291,155.824127,10327,11520,38131,,,,,,,,,,,,
1.484943,0,123,0,120,22,79.250000,-90.000000,40.839966,-206.896606,166.056656,10145,11520,38132,,,,,,,,,,,,
1.512381,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.534974,0,122,0,118,30,75.360001,-90.000000,56.200512,-214.603348,158.402832,9647,11520,38133,,,,,,,,,,,,
1.585020,0,120,0,117,22,79.129997,-90.000000,40.059578,-201.032990,160.973419,10129,11520,38134,,,,,,,,,,,,
1.609370,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237540000000,-1,0,0
1.635041,0,122,0,119,26,77.690002,-90.000000,45.783714,-204.829712,159.046005,9945,11520,38135,,,,,,,,,,,,
1.685079,0,120,0,117,23,78.629997,-90.000000,42.907990,-206.545258,163.637268,10065,11520,38136,,,,,,,,,,,,
1.710381,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
1.735097,0,119,0,117,19,80.519997,-90.000000,36.403553,-207.267227,170.863678,10307,11520,38137,,,,,,,,,,,,
1.785138,0,121,0,118,26,77.400002,-90.000000,47.598015,-208.423477,160.825470,9908,11520,38138,,,,,,,,,,,,
1.813372,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
1.835185,0,123,0,121,21,80.160004,-90.000000,36.700523,-201.800812,165.100296,10261,11520,38139,,,,,,,,,,,,
1.885193,0,120,0,118,16,82.169998,-90.000000,26.971138,-183.567139,156.595993,10519,11520,38140,,,,,,,,,,,,
1.909381,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
1.935237,0,121,0,118,23,78.730003,-90.000000,42.305031,-205.303650,162.998627,10078,11520,38141,,,,,,,,,,,,
1.985270,0,119,0,116,24,78.320000,-90.000000,43.699467,-205.204041,161.504578,10026,11520,38142,,,,,,,,,,,,
2.035277,0,121,0,119,19,80.959999,-90.000000,32.031624,-190.759506,158.727875,10364,11520,38143,,,,,,,,,,,,
2.083431,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.085347,0,119,0,116,23,78.680000,-90.000000,42.440331,-205.111694,162.671371,10072,11520,38144,,,,,,,,,,,,
2.135355,0,120,0,117,25,77.639999,-90.000000,45.620186,-203.395737,157.775543,9939,11520,38145,,,,,,,,,,,,
2.185378,0,120,0,116,26,77.160004,-90.000000,46.875458,-201.815796,154.940338,9877,11520,38146,,,,,,,,,,,,
2.208396,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.209866,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.235421,0,122,0,119,26,77.559998,-90.000000,46.785370,-207.304016,160.518646,9928,11520,38147,,,,,,,,,,,,
2.285465,0,123,0,121,22,79.669998,-90.000000,38.075989,-200.255051,162.179062,10199,11520,38148,,,,,,,,,,,,
2.314385,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.335487,0,119,0,116,24,78.250000,-90.000000,44.316788,-206.883148,162.566376,10017,11520,38149,,,,,,,,,,,,
2.385507,0,127,0,123,27,77.419998,-90.000000,47.588017,-208.757965,161.169952,9911,11520,38150,,,,,,,,,,,,
2.409385,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.435556,0,119,0,116,22,79.120003,-90.000000,40.146240,-201.164413,161.018173,10128,11520,38151,,,,,,,,,,,,
2.485563,0,120,0,118,20,79.940002,-90.000000,38.145874,-205.537338,167.391464,10233,11520,38152,,,,,,,,,,,,
2.509399,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.535623,0,122,0,119,22,79.199997,-90.000000,40.435959,-204.105698,163.669739,10138,11520,38153,,,,,,,,,,,,
2.585643,0,122,0,119,25,78.059998,-90.000000,45.132149,-207.563446,162.431305,9992,11520,38154,,,,,,,,,,,,
2.609401,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638657237550000000,-1,0,0
2.635661,0,124,0,121,27,77.419998,-90.000000,48.026096,-210.611450,162.585358,9911,11520,38155,,,,,,,,,,,,
2.685680,0,121,0,119,19,80.540001,-90.000000,35.445862,-202.277405,166.831543,10310,11520,38156,,,,,,,,,,,,
2.709398,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638657237560000000,-1,0,0
2.735757,0,121,0,119,19,80.550003,-90.000000,33.752018,-192.772614,159.020599,10311,11520,38157,,,,,,,,,,,,
2.785754,0,122,0,118,27,77.099998,-90.000000,49.800396,-213.447632,163.647247,9870,11520,38158,,,,,,,,,,,,
2.816404,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638657237560000000,-1,0,0
2.835774,0,122,0,120,19,80.750000,-90.000000,35.608795,-207.378052,171.769257,10337,11520,38159,,,,,,,,,,,,
2.885834,0,121,0,118,26,77.480003,-90.000000,46.519402,-204.898026,158.378632,9918,11520,38160,,,,,,,,,,,,
2.921406,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237560000000,-1,0,0
2.935843,0,121,0,117,29,75.970001,-90.000000,54.419037,-216.090149,161.671112,9725,11520,38161,,,,,,,,,,,,
2.985885,0,119,0,116,26,77.110001,-90.000000,47.633125,-204.257538,156.624405,9871,11520,38162,,,,,,,,,,,,
3.035924,0,122,0,119,22,79.139999,-90.000000,41.788620,-209.756439,167.967819,10131,11520,38163,,,,,,,,,,,,
3.078412,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237560000000,-1,0,0
3.085952,0,121,0,118,23,78.820000,-90.000000,41.046894,-200.596558,159.549667,10090,11520,38164,,,,,,,,,,,,
3.129416,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638657237560000000,-1,0,0
3.135954,0,120,0,118,20,80.209999,-90.000000,36.330872,-200.813477,164.482605,10268,11520,38165,,,,,,,,,,,,
3.186034,0,121,0,119,21,79.589996,-90.000000,39.334419,-205.279114,165.944687,10188,11520,38166,,,,,,,,,,,,
3.236031,0,122,0,120,20,80.190002,-90.000000,36.871536,-203.397476,166.525940,10265,11520,38167,,,,,,,,,,,,
