Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.037140,0,117,28,108,-33,67.820000,50.250000,-52.222015,-118.253967,170.475983,8682,6433,14596,,,,,,,,,,,,
0.087130,0,118,39,104,-38,62.139999,43.840000,-58.239414,-108.720764,166.960175,7955,5612,14597,,,,,,,,,,,,
0.107606,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638657246080000000,-1,0,0
0.137186,0,117,34,107,-30,66.500000,41.580002,-47.627716,-119.151443,166.779160,8512,5323,14598,,,,,,,,,,,,
0.156594,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638657246080000000,-1,0,0
0.187213,0,118,24,109,-35,68.650002,54.730000,-53.468292,-118.469910,171.938202,8788,7006,14599,,,,,,,,,,,,
0.237238,0,115,9,112,-23,77.089996,68.910004,-37.478943,-133.214417,170.693375,9868,8821,14600,,,,,,,,,,,,
0.256600,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246080000000,-1,0,0
0.337288,0,118,46,102,-36,59.849998,37.680000,-55.251770,-107.191498,162.443268,7662,4824,14602,,,,,,,,,,,,
0.387319,0,116,32,107,-28,67.949997,41.450001,-44.711349,-122.145020,166.856384,8698,5306,14603,,,,,,,,,,,,
0.415599,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246080000000,-1,0,0
0.437333,0,116,38,104,-31,64.360001,39.310001,-49.327427,-115.891510,165.218933,8239,5032,14604,,,,,,,,,,,,
0.470595,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246080000000,-1,0,0
0.487387,0,116,24,109,-28,70.949997,49.849998,-44.878113,-124.923615,169.801727,9082,6382,14605,,,,,,,,,,,,
0.537422,0,115,40,100,-39,60.619999,44.049999,-61.390739,-105.157974,166.548721,7760,5639,14606,,,,,,,,,,,,
0.559602,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
0.587444,0,117,38,105,-31,64.830002,39.070000,-48.244617,-116.978012,165.222626,8299,5002,14607,,,,,,,,,,,,
0.637463,0,117,16,111,-30,72.750000,60.849998,-46.582306,-125.594238,172.176559,9313,7790,14608,,,,,,,,,,,,
0.687504,0,116,36,106,-27,66.870003,36.930000,-42.476593,-122.129257,164.605850,8560,4728,14609,,,,,,,,,,,,
0.717596,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
0.737551,0,115,29,106,-33,67.250000,47.930000,-51.675125,-117.921967,169.597092,8608,6136,14610,,,,,,,,,,,,
0.787592,0,114,32,104,-30,66.699997,43.049999,-48.590256,-118.891068,167.481323,8538,5511,14611,,,,,,,,,,,,
0.793602,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
0.837612,0,117,42,105,-29,64.070000,34.560001,-44.645477,-117.881714,162.527191,8202,4424,14612,,,,,,,,,,,,
0.887624,0,116,10,110,-33,72.339996,72.349998,-51.994545,-122.553894,174.548447,9260,9262,14613,,,,,,,,,,,,
0.906616,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
0.937656,0,117,46,103,-28,62.250000,31.510000,-43.810528,-116.055603,159.866135,7968,4034,14614,,,,,,,,,,,,
0.987710,0,116,43,97,-44,57.439999,45.470001,-69.046944,-96.886963,165.933899,7353,5821,14615,,,,,,,,,,,,
1.037727,0,116,28,108,-29,69.360001,45.959999,-45.600006,-123.089264,168.689270,8879,5884,14616,,,,,,,,,,,,
1.071607,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.087737,0,116,46,98,-40,57.799999,41.099998,-63.043625,-100.413391,163.457031,7399,5262,14617,,,,,,,,,,,,
1.137776,0,116,25,109,-28,70.849998,47.910000,-43.807365,-125.363770,169.171143,9070,6133,14618,,,,,,,,,,,,
1.164608,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.187751,0,116,0,111,-31,74.269997,90.000000,-49.172676,-126.729645,175.902313,9507,11520,14619,,,,,,,,,,,,
1.200601,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.237839,0,117,33,106,-36,65.070000,47.369999,-55.798447,-113.480118,169.278564,8330,6064,14620,,,,,,,,,,,,
1.257601,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.287876,0,115,39,103,-31,63.910000,38.610001,-49.389542,-115.322144,164.711685,8181,4943,14621,,,,,,,,,,,,
1.337909,0,117,41,104,-30,63.799999,36.110001,-46.824089,-116.475616,163.299713,8167,4623,14622,,,,,,,,,,,,
1.372619,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.387943,0,116,26,108,-31,69.180000,50.869999,-49.602959,-120.918671,170.521622,8856,6512,14623,,,,,,,,,,,,
1.437973,0,117,38,106,-30,64.959999,38.660000,-47.585617,-117.458572,165.044189,8316,4949,14624,,,,,,,,,,,,
1.487989,0,116,35,105,-33,64.860001,43.570000,-52.685623,-114.797653,167.483276,8303,5578,14625,,,,,,,,,,,,
1.520627,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246090000000,-1,0,0
1.538019,0,117,31,107,-32,67.129997,45.590000,-49.958282,-118.663330,168.621613,8593,5836,14626,,,,,,,,,,,,
1.588061,0,116,30,107,-30,68.019997,45.169998,-47.759766,-120.688278,168.448044,8707,5783,14627,,,,,,,,,,,,
1.593623,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
1.638100,0,116,32,105,-35,65.260002,47.259998,-55.306572,-113.942291,169.248871,8354,6050,14628,,,,,,,,,,,,
1.653616,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
1.688132,0,118,36,107,-32,65.260002,41.820000,-50.209496,-116.492035,166.701523,8354,5354,14629,,,,,,,,,,,,
1.738179,0,116,36,104,-34,64.260002,43.270000,-53.577232,-113.642288,167.219513,8226,5539,14630,,,,,,,,,,,,
1.769619,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
1.788177,0,117,46,100,-39,58.889999,40.389999,-60.249008,-103.368103,163.617126,7539,5171,14631,,,,,,,,,,,,
1.838220,0,116,40,104,-30,64.379997,36.950001,-46.770466,-117.192535,163.962997,8241,4730,14632,,,,,,,,,,,,
1.867624,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
1.888257,0,116,43,102,-32,61.880001,36.820000,-50.828743,-112.094757,162.923508,7921,4714,14633,,,,,,,,,,,,
1.938266,0,116,41,102,-34,62.150002,39.669998,-53.666603,-111.012909,164.679504,7956,5079,14634,,,,,,,,,,,,
1.956622,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
1.988317,0,117,40,105,-31,63.919998,37.389999,-48.047760,-116.001602,164.049362,8183,4787,14635,,,,,,,,,,,,
2.038337,0,116,32,107,-27,68.419998,39.959999,-42.501141,-123.723969,166.225113,8759,5116,14636,,,,,,,,,,,,
2.088368,0,116,38,100,-43,59.770000,48.529999,-67.899376,-100.750153,168.649536,7651,6213,14637,,,,,,,,,,,,
2.107628,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638657246100000000,-1,0,0
2.138414,0,116,28,106,-34,67.160004,49.930000,-53.448929,-116.951096,170.400024,8597,6392,14638,,,,,,,,,,,,
