Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
0.064801,,,61272,442,,,,,,,,,,,,,,,,,,
0.066713,,,,,,,,,61272,333,,,,,,,,,,,,
0.066825,,,,,,,61272,328,,,,,,,,,,,,,,
0.068251,61272,568,,,,,,,,,,,,,,,,,,,,
0.068362,,,,,61272,117,,,,,,,,,,,,,,,,
0.142068,,,,,,,,,,,2,2,0,0,0,560,-3,37,638682351660000000,-1,0,178000
0.159803,61320,563,,,,,,,,,,,,,,,,,,,,
0.159914,,,,,61320,115,,,,,,,,,,,,,,,,
0.160027,,,,,,,61320,330,,,,,,,,,,,,,,
0.166149,,,61320,443,,,,,,,,,,,,,,,,,,
0.167369,,,,,,,,,61320,331,,,,,,,,,,,,
0.257302,,,61368,444,,,,,,,,,,,,,,,,,,
0.258528,,,,,,,,,61368,328,,,,,,,,,,,,
0.260424,,,,,61368,117,,,,,,,,,,,,,,,,
0.260537,,,,,,,61368,333,,,,,,,,,,,,,,
0.261619,61368,560,,,,,,,,,,,,,,,,,,,,
0.285081,,,,,,,,,,,2,2,0,0,0,560,-3,37,638682351660000000,-1,0,178000
0.324073,,,,,,,,,,,2,3,0,0,0,560,-3,37,638682351660000000,-1,0,178000
0.351794,61416,569,,,,,,,,,,,,,,,,,,,,
0.351906,,,,,61416,120,,,,,,,,,,,,,,,,
0.352018,,,,,,,61416,329,,,,,,,,,,,,,,
0.358818,,,61416,442,,,,,,,,,,,,,,,,,,
0.360123,,,,,,,,,61416,327,,,,,,,,,,,,
