Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.026301,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,1,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.044099,0,315,0,252,188,53.139999,-90.000000,148.651825,-246.131973,97.480133,6803,11520,6685,,,,,,,,,,,,,,,,,,,,,,,,,
0.050127,,,,,,,,,,,,,,0,237,126,-159,-121,-42.220001,44.009998,-92.612869,151.092072,-58.479210,5405,5634,14055,,,,,,,,,,,,
0.136300,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.137760,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.144159,0,305,0,304,7,88.639999,-90.000000,6.924911,-259.372101,252.447174,11347,11520,6686,,,,,,,,,,,,,,,,,,,,,,,,,
0.150187,,,,,,,,,,,,,,0,229,131,-154,-105,-42.529999,38.889999,-83.292175,147.047562,-63.755402,5445,4979,14056,,,,,,,,,,,,
0.244212,0,304,0,268,142,62.130001,-90.000000,110.939850,-237.266724,126.326874,7953,11520,6687,,,,,,,,,,,,,,,,,,,,,,,,,
0.249302,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.344296,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.344583,0,303,0,260,154,59.430000,-90.000000,125.989441,-247.824707,121.835266,7608,11520,6688,,,,,,,,,,,,,,,,,,,,,,,,,
0.350319,,,,,,,,,,,,,,0,229,135,-153,-101,-42.110001,36.860001,-80.113342,144.622757,-64.509399,5391,4719,14058,,,,,,,,,,,,
0.444321,0,307,0,241,189,51.869999,-90.000000,151.073975,-242.279388,91.205414,6640,11520,6689,,,,,,,,,,,,,,,,,,,,,,,,,
0.450365,,,,,,,,,,,,,,0,229,113,-152,-127,-41.810001,48.250000,-100.087326,153.988495,-53.901154,5352,6176,14059,,,,,,,,,,,,
0.454315,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.544338,0,306,0,243,185,52.700001,-90.000000,148.846420,-243.725998,94.879578,6746,11520,6690,,,,,,,,,,,,,,,,,,,,,,,,,
0.550396,,,,,,,,,,,,,,0,227,133,-152,-102,-42.110001,37.639999,-81.557678,145.331329,-63.773651,5391,4819,14060,,,,,,,,,,,,
0.581326,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.644434,0,303,0,278,120,66.629997,-90.000000,102.412170,-256.566895,154.154724,8529,11520,6691,,,,,,,,,,,,,,,,,,,,,,,,,
0.650447,,,,,,,,,,,,,,0,229,129,-153,-109,-42.090000,40.230000,-86.269653,147.662109,-61.392426,5388,5150,14061,,,,,,,,,,,,
0.689315,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785350000000,-1,0,165000
0.744462,0,305,0,272,137,63.160000,-90.000000,112.516640,-248.929840,136.413208,8085,11520,6692,,,,,,,,,,,,,,,,,,,,,,,,,
0.750525,,,,,,,,,,,,,,0,230,137,-151,-105,-41.160000,37.680000,-82.852966,144.050629,-61.197662,5269,4824,14062,,,,,,,,,,,,
0.757321,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785360000000,-1,0,165000
0.844532,0,307,0,252,174,55.320000,-90.000000,147.456207,-258.359741,110.903534,7082,11520,6693,,,,,,,,,,,,,,,,,,,,,,,,,
0.850570,,,,,,,,,,,,,,0,230,134,-157,-100,-43.230000,36.799999,-78.569702,146.080139,-67.510437,5534,4711,14063,,,,,,,,,,,,
0.881336,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,2,1,0,0,350,-150,37,638799785360000000,-1,0,165000
