Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.039528,0,196,0,-189,-48,-75.720001,90.000000,-53.150581,207.622604,-154.472015,9693,11520,1026,,,,,,,,,,,,,,,,,,,,,,,,,
0.045581,,,,,,,,,,,,,,0,219,29,-182,-116,-56.650002,75.599998,-95.813126,178.144409,-82.331291,7252,9678,7089,,,,,,,,,,,,
0.079210,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.139587,0,307,0,239,191,51.410000,-90.000000,133.617126,-211.917511,78.300385,6581,11520,1027,,,,,,,,,,,,,,,,,,,,,,,,,
0.145650,,,,,,,,,,,,,,0,221,128,-147,-103,-41.720001,39.080002,-84.694946,146.122360,-61.427414,5341,5003,7090,,,,,,,,,,,,
0.181223,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.239690,0,309,158,47,261,8.760000,-58.759998,152.129242,-99.852875,-52.276375,1122,7522,1028,,,,,,,,,,,,,,,,,,,,,,,,,
0.245710,,,,,,,,,,,,,,0,220,66,-179,-107,-54.770000,58.320000,-88.344788,171.529755,-83.184975,7011,7466,7091,,,,,,,,,,,,
0.297221,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.339797,0,157,68,133,47,58.040001,-34.450001,53.895737,-159.221405,105.325668,7430,4410,1029,,,,,,,,,,,,,,,,,,,,,,,,,
0.345773,,,,,,,,,,,,,,0,219,77,-163,-123,-48.230000,57.689999,-101.325836,166.957642,-65.631805,6174,7385,7092,,,,,,,,,,,,
0.391226,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.439800,0,311,284,-104,-71,-19.570000,14.110000,-41.380745,72.933533,-31.552795,2506,1807,1030,,,,,,,,,,,,,,,,,,,,,,,,,
0.445816,,,,,,,,,,,,,,0,220,73,-178,-105,-54.380001,55.220001,-86.084732,169.787964,-83.703217,6961,7069,7093,,,,,,,,,,,,
0.516243,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.539914,0,306,201,-227,34,-48.070000,-9.730000,20.359535,105.821503,-126.181038,6154,1246,1031,,,,,,,,,,,,,,,,,,,,,,,,,
0.545884,,,,,,,,,,,,,,0,221,75,-175,-110,-52.709999,55.730000,-90.100731,169.101257,-79.000519,6748,7134,7094,,,,,,,,,,,,
0.601237,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.609220,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778380000000,-1,0,169000
0.639995,0,314,173,-256,-49,-54.869999,15.800000,-28.211143,141.614807,-113.403656,7024,2023,1032,,,,,,,,,,,,,,,,,,,,,,,,,
0.645989,,,,,,,,,,,,,,0,221,82,-182,-93,-55.750000,48.750000,-76.143585,166.947815,-90.804222,7137,6240,7095,,,,,,,,,,,,
0.711243,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-80,1,0,0,351,-149,37,638799778390000000,-1,0,169000
0.740029,0,310,126,-282,22,-65.500000,-9.920000,12.876801,135.416611,-148.293411,8384,1271,1033,,,,,,,,,,,,,,,,,,,,,,,,,
0.746017,,,,,,,,,,,,,,0,220,104,-143,-130,-40.759998,51.310001,-106.429291,155.012970,-48.583687,5218,6568,7096,,,,,,,,,,,,
0.819264,,,,,,,,,,,,,,,,,,,,,,,,,,,-277,-81,1,0,0,351,-149,37,638799778390000000,-1,0,169000
0.840101,0,154,68,-134,29,-61.000000,-23.250000,34.444305,119.127945,-153.572250,7808,2976,1034,,,,,,,,,,,,,,,,,,,,,,,,,
