Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index
0.083641,0,109,68,78,30,46.180000,-24.000000,50.684219,-137.853012,87.168793,5912,3072,18707,,,,,,,,,,,,,
0.089609,,,,,,,,,,,,,,0,149,22,-143,-33,-74.320000,55.410000,-40.031357,170.106964,-130.075607,9514,7093,18707
0.183685,0,110,93,50,-28,27.320000,16.780001,-46.213074,-48.466156,94.679230,3498,2149,18708,,,,,,,,,,,,,
0.189668,,,,,,,,,,,,,,0,156,11,-150,-38,-75.269997,73.360001,-43.822945,172.680298,-128.857361,9635,9391,18708
0.283757,0,119,89,32,-71,15.950000,38.730000,-108.315125,11.284035,97.031097,2042,4958,18709,,,,,,,,,,,,,
0.289759,,,,,,,,,,,,,,0,162,16,-155,-40,-74.339996,67.750000,-44.922112,172.572754,-127.650650,9516,8673,18709
0.383841,0,124,99,39,-62,18.559999,32.060001,-90.601318,-4.358162,94.959473,2376,4104,18710,,,,,,,,,,,,,
0.389808,,,,,,,,,,,,,,0,167,41,-157,-37,-70.389999,41.830002,-40.262177,166.991058,-126.728889,9011,5355,18710
0.483887,0,128,101,49,-60,22.540001,30.610001,-84.681061,-17.446472,102.127533,2886,3919,18711,,,,,,,,,,,,,
0.489875,,,,,,,,,,,,,,0,172,20,-165,-42,-74.080002,63.970001,-44.323639,172.080765,-127.757118,9483,8189,18711
0.583854,0,133,0,3,-132,1.410000,90.000000,-195.998215,93.767929,102.230286,181,11520,18712,,,,,,,,,,,,,
0.683973,0,136,112,74,-16,33.270000,8.380000,-21.958458,-74.562424,96.520874,4259,1073,18713,,,,,,,,,,,,,
0.689991,,,,,,,,,,,,,,0,179,53,-166,-40,-68.070000,37.139999,-40.578583,164.909225,-124.330643,8714,4755,18713
0.784041,0,136,104,87,4,40.009998,-2.440000,5.899971,-103.203796,97.303833,5122,313,18714,,,,,,,,,,,,,
0.789954,,,,,,,,,,,,,,0,181,0,-173,-52,-73.000000,90.000000,-53.100403,177.028961,-123.928566,9344,11520,18714
0.884088,0,144,122,40,-64,16.299999,27.889999,-80.845352,-3.379944,84.225296,2087,3571,18715,,,,,,,,,,,,,
0.890086,,,,,,,,,,,,,,0,187,44,-174,-48,-69.349998,47.549999,-46.817207,169.293213,-122.476013,8878,6087,18715
0.984172,0,147,113,53,-76,21.530001,34.049999,-93.781097,-10.350815,104.131897,2757,4359,18716,,,,,,,,,,,,,
0.990160,,,,,,,,,,,,,,0,189,36,-176,-58,-68.750000,58.150002,-55.381218,172.993622,-117.612396,8801,7444,18716
1.084232,0,153,126,63,-59,24.340000,25.260000,-70.000244,-29.295578,99.295837,3116,3234,18717,,,,,,,,,,,,,
1.090222,,,,,,,,,,,,,,0,190,63,-170,-55,-63.590000,41.430000,-52.972321,166.114197,-113.141861,8140,5304,18717
