Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index
0.029479,,,,,,,,,,,,,,0,189,58,-169,-59,-63.759998,45.639999,-56.885254,168.278870,-111.393616,8162,5843,792
0.123486,0,165,0,-138,90,-56.919998,-90.000000,116.320801,96.554459,-212.875275,7287,11520,300,,,,,,,,,,,,,
0.129541,,,,,,,,,,,,,,0,187,92,-153,-53,-55.320000,29.980000,-51.176605,153.807053,-102.630447,7082,3838,793
0.229635,,,,,,,,,,,,,,0,197,92,-164,-55,-56.810001,31.270000,-51.146729,156.048401,-104.901665,7272,4003,794
0.323597,0,169,0,-61,-157,-21.500000,90.000000,-171.627258,144.412903,27.214355,2753,11520,302,,,,,,,,,,,,,
0.423614,0,170,0,23,-168,8.030000,90.000000,-186.557526,70.455200,116.102325,1029,11520,303,,,,,,,,,,,,,
0.429705,,,,,,,,,,,,,,0,197,85,-165,-63,-57.250000,36.430000,-57.821251,160.037827,-102.216568,7329,4664,796
0.523725,0,176,75,11,-158,3.640000,64.599998,-162.284821,71.211456,91.073364,467,8270,304,,,,,,,,,,,,,
0.529804,,,,,,,,,,,,,,0,198,97,-162,-58,-54.939999,31.100000,-53.411240,154.327240,-100.916008,7033,3982,797
0.623762,0,169,0,36,-164,12.540000,90.000000,-260.588379,80.037277,180.551117,1606,11520,305,,,,,,,,,,,,,
0.629819,,,,,,,,,,,,,,0,199,82,-169,-62,-58.599998,37.310001,-56.841766,161.492767,-104.650993,7502,4776,798
0.723869,0,183,79,-23,-163,-7.390000,63.980000,-160.429047,100.316406,60.112640,947,8190,306,,,,,,,,,,,,,
0.823849,0,182,0,33,-178,10.480000,90.000000,-241.038803,81.865372,159.173431,1342,11520,307,,,,,,,,,,,,,
0.829941,,,,,,,,,,,,,,0,200,77,-169,-72,-57.959999,42.880001,-64.972656,164.649338,-99.676682,7420,5489,800
0.923918,0,177,0,0,-176,0.000000,90.000000,-200.548050,98.852524,101.695526,0,11520,308,,,,,,,,,,,,,
0.929978,,,,,,,,,,,,,,0,200,103,-156,-68,-51.580002,33.590000,-61.880180,153.102005,-91.221825,6603,4300,801
1.023967,0,176,0,20,-174,6.580000,90.000000,-251.153519,100.423386,150.730133,843,11520,309,,,,,,,,,,,,,
1.030069,,,,,,,,,,,,,,0,199,102,-155,-69,-51.419998,34.000000,-62.779205,153.274841,-90.495636,6583,4353,802
1.124086,0,174,109,-14,-134,-4.910000,51.000000,-139.374802,83.068039,56.306763,629,6528,310,,,,,,,,,,,,,
1.130092,,,,,,,,,,,,,,0,198,90,-156,-81,-52.189999,42.040001,-73.897476,160.125015,-86.227547,6681,5382,803
1.224103,0,171,0,22,-169,7.620000,90.000000,-241.667999,92.771111,148.896881,976,11520,311,,,,,,,,,,,,,
1.230155,,,,,,,,,,,,,,0,200,101,-150,-83,-48.900002,39.150002,-74.722839,154.848663,-80.125809,6260,5012,804
