Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index
0.003337,0,152,62,6,-138,2.520000,65.750000,-163.963974,75.079819,88.884155,323,8416,812,,,,,,,,,,,,,
0.009336,,,,,,,,,,,,,,0,179,57,-160,-55,-63.419998,43.750000,-55.675735,167.263824,-111.588097,8119,5600,18113
0.109431,,,,,,,,,,,,,,0,186,77,-161,-49,-60.340000,32.549999,-47.926758,159.443909,-111.517136,7724,4167,18114
0.203473,0,163,59,65,-137,23.620001,66.720001,-151.491760,13.245804,138.245972,3024,8541,814,,,,,,,,,,,,,
0.209462,,,,,,,,,,,,,,0,192,64,-172,-54,-63.880001,40.590000,-51.552345,165.759018,-114.206680,8177,5196,18115
0.309541,,,,,,,,,,,,,,0,192,40,-181,-48,-70.809998,49.580002,-45.009552,169.744019,-124.734467,9064,6347,18116
0.403577,0,170,9,3,-169,1.100000,86.849998,-179.695786,86.812927,92.882858,142,11118,816,,,,,,,,,,,,,
0.409601,,,,,,,,,,,,,,0,196,74,-172,-54,-61.820000,36.200001,-50.189514,162.525848,-112.336334,7914,4634,18117
0.503522,0,171,0,-55,-161,-18.910000,90.000000,-185.472031,147.815704,37.656326,2421,11520,817,,,,,,,,,,,,,
0.509640,,,,,,,,,,,,,,0,201,74,-178,-55,-62.509998,36.509998,-49.414322,163.015137,-113.600800,8002,4674,18118
0.603638,0,172,157,-24,-65,-8.230000,22.680000,-68.716293,56.716331,11.999954,1054,2904,818,,,,,,,,,,,,,
0.609682,,,,,,,,,,,,,,0,204,61,-184,-60,-64.930000,44.220001,-53.186829,167.805542,-114.618698,8312,5661,18119
0.709767,,,,,,,,,,,,,,0,202,72,-181,-50,-63.950001,34.650002,-44.944832,162.533081,-117.588257,8186,4436,18120
0.803691,0,174,0,31,-171,10.480000,90.000000,-211.614288,71.867828,139.746460,1342,11520,820,,,,,,,,,,,,,
0.903826,0,174,162,53,31,18.070000,-11.000000,32.681091,-64.742096,32.061005,2314,1409,821,,,,,,,,,,,,,
0.909868,,,,,,,,,,,,,,0,199,77,-172,-61,-60.130001,38.639999,-55.978943,163.180237,-107.201286,7697,4947,18122
1.003841,0,169,0,133,103,52.150002,-90.000000,163.373489,-263.875977,100.502487,6676,11520,822,,,,,,,,,,,,,
1.009911,,,,,,,,,,,,,,0,199,76,-175,-56,-61.630001,36.480000,-50.846542,162.607880,-111.761322,7889,4670,18123
1.103878,0,166,0,154,61,68.370003,-90.000000,101.915077,-273.660400,171.745331,8752,11520,823,,,,,,,,,,,,,
1.109989,,,,,,,,,,,,,,0,193,63,-173,-56,-63.959999,41.680000,-52.522507,166.342987,-113.820488,8188,5336,18124
1.204021,0,161,125,-96,31,-36.650002,-14.080000,35.162338,75.502869,-110.665222,4692,1803,824,,,,,,,,,,,,,
