Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB_Copy_1::uwb_fob_location_index
0.072756,0,147,0,132,-63,64.339996,90.000000,-84.746719,-110.509796,195.256516,8236,11520,4047,,,,,,,,,,,,,
0.078734,,,,,,,,,,,,,,0,83,0,-80,-21,-75.099998,90.000000,-50.743042,190.732239,-139.989197,9614,11520,4047
0.172816,0,145,0,127,-69,61.340000,90.000000,-90.562546,-98.308167,188.870728,7852,11520,4048,,,,,,,,,,,,,
0.178831,,,,,,,,,,,,,,0,83,0,-78,-27,-70.690002,90.000000,-73.511665,218.571121,-145.059448,9049,11520,4048
0.272862,0,147,0,122,-81,56.150002,90.000000,-103.825867,-82.216278,186.042145,7188,11520,4049,,,,,,,,,,,,,
0.372946,0,145,0,107,-97,47.680000,90.000000,-135.361511,-61.110474,196.471985,6104,11520,4050,,,,,,,,,,,,,
0.473004,0,146,0,111,-94,49.689999,90.000000,-125.025085,-65.166595,190.191696,6361,11520,4051,,,,,,,,,,,,,
0.478998,,,,,,,,,,,,,,0,84,0,-79,-28,-70.370003,90.000000,-78.152435,228.970795,-150.818359,9008,11520,4051
0.573025,0,143,0,107,-93,49.000000,90.000000,-131.640930,-65.410553,197.051483,6273,11520,4052,,,,,,,,,,,,,
0.579040,,,,,,,,,,,,,,0,79,0,-77,-15,-78.790001,90.000000,-37.366493,182.193085,-144.826599,10086,11520,4052
0.673082,0,145,0,121,-78,57.220001,90.000000,-103.980820,-87.944687,191.925507,7325,11520,4053,,,,,,,,,,,,,
0.679093,,,,,,,,,,,,,,0,82,0,-78,-23,-73.699997,90.000000,-64.069740,221.959488,-157.889755,9434,11520,4053
0.773168,0,147,0,115,-91,51.720001,90.000000,-120.567780,-72.095535,192.663315,6621,11520,4054,,,,,,,,,,,,,
0.873214,0,145,0,122,-77,57.509998,90.000000,-101.002045,-86.944611,187.946640,7362,11520,4055,,,,,,,,,,,,,
0.879182,,,,,,,,,,,,,,0,81,0,-78,-20,-75.190002,90.000000,-52.840393,199.716614,-146.876221,9625,11520,4055
0.973275,0,147,0,118,-87,53.639999,90.000000,-112.166626,-75.918854,188.085480,6867,11520,4056,,,,,,,,,,,,,
0.979294,,,,,,,,,,,,,,0,84,0,-77,-31,-68.000000,90.000000,-91.722260,242.508484,-150.786224,8704,11520,4056
1.073334,0,144,0,125,-71,60.369999,90.000000,-95.401573,-97.651062,193.052643,7728,11520,4057,,,,,,,,,,,,,
1.173391,0,147,0,108,-99,47.529999,90.000000,-132.959885,-59.387146,192.347046,6085,11520,4058,,,,,,,,,,,,,
1.273425,0,147,0,113,-93,50.549999,90.000000,-123.155273,-68.088135,191.243393,6471,11520,4059,,,,,,,,,,,,,
1.373485,0,146,0,122,-79,57.020000,90.000000,-103.919373,-86.819336,190.738708,7299,11520,4060,,,,,,,,,,,,,
