sessionNumber,PdoaFirst,PdoaSecond,PdoaThird,AoAElevation,AoAAzimuth,Distance,x,y,z,DstPdoaFirst,DstPdoaSecond,DstPdoaThird,RSSI,timestamp,drop_count,car_time,car_x,car_y
,,,,,,,,,,,,,,,,1745215198.0,0,0
10167,+151.71,-70.68,-81.02,48.28,36.16,344,-135,256,184,0.00,0.00,0.00,-59.00,1745215199523,0,,,
,,,,,,,,,,,,,,,,1745215198.0,0,0
10168,+127.95,-73.12,-54.82,35.88,30.08,345,-140,202,241,0.00,0.00,0.00,-59.00,1745215199631,0,,,
,,,,,,,,,,,,,,,,1745215198.0,0,0
10170,+113.85,-53.46,-60.39,33.97,20.97,338,-100,188,261,0.00,0.00,0.00,-57.00,1745215199831,1,,,
,,,,,,,,,,,,,,,,1745215198.0,0,0
10171,+46.73,-13.00,-33.73,14.94,4.27,344,-24,88,331,0.00,0.00,0.00,-59.00,1745215199931,0,,,
,,,,,,,,,,,,,,,,1745215198.0,0,0
10172,+135.40,-82.64,-52.76,37.11,35.14,345,-158,208,224,0.00,0.00,0.00,-57.00,1745215200032,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10173,+98.90,-47.37,-51.53,28.84,17.47,344,-90,165,287,0.00,0.00,0.00,-57.00,1745215200123,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10176,+111.27,-25.75,-85.51,39.12,10.62,340,-48,214,259,0.00,0.00,0.00,-59.00,1745215200428,2,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10177,+120.34,-65.93,-54.40,34.08,26.25,351,-128,196,260,0.00,0.00,0.00,-57.00,1745215200532,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10179,+98.66,-74.61,-24.04,23.16,26.79,374,-154,147,306,0.00,0.00,0.00,-57.00,1745215200732,1,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10180,+132.52,-70.81,-61.71,38.52,30.18,346,-136,215,234,0.00,0.00,0.00,-59.00,1745215200832,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10183,+150.07,-98.77,-51.30,40.22,45.94,340,-186,219,180,0.00,0.00,0.00,-59.00,1745215201132,2,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10184,+93.61,-55.51,-38.09,24.98,19.88,355,-109,149,302,0.00,0.00,0.00,-59.00,1745215201232,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10185,+140.29,-66.84,-73.45,43.27,30.66,347,-128,237,217,0.00,0.00,0.00,-59.00,1745215201332,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10186,+143.12,-97.67,-45.45,37.20,42.94,345,-187,208,201,0.00,0.00,0.00,-59.00,1745215201430,0,,,
,,,,,,,,,,,,,,,,1745215199.0,0,0
10187,+136.59,-45.31,-91.28,46.95,21.63,345,-86,252,218,0.00,0.00,0.00,-58.00,1745215201531,0,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10189,+139.65,-85.76,-53.89,38.36,37.41,344,-163,213,214,0.00,0.00,0.00,-58.00,1745215201733,1,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10192,+159.29,-92.93,-66.35,46.35,48.42,343,-177,248,157,0.00,0.00,0.00,-57.00,1745215202031,2,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10194,+130.73,-46.29,-84.43,43.63,20.80,339,-87,233,229,0.00,0.00,0.00,-57.00,1745215202231,1,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10195,+131.39,-80.29,-51.10,35.82,33.37,351,-156,205,237,0.00,0.00,0.00,-59.00,1745215202331,0,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10196,+120.91,-62.92,-57.98,35.00,25.25,342,-119,196,253,0.00,0.00,0.00,-57.00,1745215202432,0,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10201,+144.03,-55.73,-88.30,48.16,27.65,348,-107,259,205,0.00,0.00,0.00,-58.00,1745215202932,4,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10202,+104.27,-66.65,-37.61,27.06,24.56,340,-125,154,275,0.00,0.00,0.00,-59.00,1745215203031,0,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10205,+101.13,-47.23,-53.89,29.80,17.59,348,-91,172,287,0.00,0.00,0.00,-58.00,1745215203320,2,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10208,+129.97,-47.29,-82.67,43.00,21.04,346,-90,235,236,0.00,0.00,0.00,-57.00,1745215203632,2,,,
,,,,,,,,,,,,,,,,1745215200.0,0,0
10212,+136.59,-71.05,-65.53,40.40,31.22,348,-137,225,226,0.00,0.00,0.00,-58.00,1745215204037,3,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10216,+121.48,-38.69,-82.78,40.92,16.52,352,-75,230,255,0.00,0.00,0.00,-61.00,1745215204433,3,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10217,+126.65,-39.72,-86.92,43.22,17.62,343,-75,234,238,0.00,0.00,0.00,-58.00,1745215204528,0,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10220,+97.38,-47.77,-49.60,28.11,17.50,341,-90,160,286,0.00,0.00,0.00,-57.00,1745215204832,2,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10221,+132.31,-27.78,-104.53,49.42,13.71,339,-52,257,214,0.00,0.00,0.00,-57.00,1745215204932,0,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10224,+99.19,-39.24,-59.94,30.68,14.67,341,-74,173,283,0.00,0.00,0.00,-57.00,1745215205231,2,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10225,+125.52,-33.96,-91.56,44.12,15.23,348,-65,242,241,0.00,0.00,0.00,-56.00,1745215205335,0,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
10230,+103.91,-59.97,-43.93,28.29,22.22,372,-123,176,303,0.00,0.00,0.00,-57.00,1745215205834,4,,,
,,,,,,,,,,,,,,,,1745215201.0,0,0
