Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.016354,,,,,,,,,,,,,,8058,781,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.120382,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.282361,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.326365,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.415359,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.525384,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285410000000,-1,0,177000
0.636370,,,,,,,,,,,,,,8060,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
0.713500,,,,,,,,,,,,,,8060,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
0.882379,,,,,,,,,,,,,,8060,781,0,0,0,485,26,37,638657285420000000,-1,0,177000
0.972374,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.073382,,,,,,,,,,,,,,8058,779,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.124444,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.238375,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.366385,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.482384,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.539400,,,,,,,,,,,,,,8057,779,0,0,0,485,26,37,638657285420000000,-1,0,177000
1.673396,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
1.741397,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
1.839397,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
1.919403,,,,,,,,,,,,,,8056,781,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.075508,,,,,,,,,,,,,,8055,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.122408,,,,,,,,,,,,,,8055,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.209396,,,,,,,,,,,,,,8055,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.325411,,,,,,,,,,,,,,8055,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.418437,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.506402,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285430000000,-1,0,177000
2.679417,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
2.755413,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
2.817401,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
2.922417,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.041416,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.122432,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.219421,,,,,,,,,,,,,,8056,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.314677,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.414421,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.522470,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285440000000,-1,0,177000
3.614428,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
3.723449,,,,,,,,,,,,,,8057,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
3.883435,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
3.963440,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.122446,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.134432,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.274457,,,,,,,,,,,,,,8058,781,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.380451,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.431450,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.546456,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285450000000,-1,0,177000
4.661445,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
4.783469,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
4.839459,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
4.939470,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.019466,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.137477,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.265465,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.331465,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.428464,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.518494,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285460000000,-1,0,177000
5.680469,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
5.713497,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
5.834481,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
5.958486,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.013488,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.127493,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.213497,,,,,,,,,,,,,,8059,781,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.317499,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.441496,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.525496,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285470000000,-1,0,177000
6.639487,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
6.734505,,,,,,,,,,,,,,8059,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
6.819505,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
6.941500,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.017500,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.137515,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.220505,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.321519,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.477502,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.513540,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285480000000,-1,0,177000
7.630519,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
7.741535,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
7.827521,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
7.919532,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
8.091527,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
8.118553,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
8.238523,,,,,,,,,,,,,,8058,780,0,0,0,485,26,37,638657285490000000,-1,0,177000
