Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.024044,0,825,0,319,760,22.820000,-90.000000,175.278336,-151.564545,-23.713806,2922,11520,3513,,,,,,,,,,,,
0.068812,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658143040000000,-1,0,-179000
0.074174,0,826,309,358,676,25.750000,-65.400002,147.421219,-141.452484,-5.968719,3296,8372,3514,,,,,,,,,,,,
0.124204,0,828,76,430,703,31.290001,-83.830002,152.914673,-157.445435,4.530762,4006,10731,3515,,,,,,,,,,,,
0.174127,0,826,0,337,754,24.090000,-90.000000,177.269501,-157.309723,-19.959778,3084,11520,3516,,,,,,,,,,,,
0.205811,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.232801,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.324294,0,825,316,354,674,25.450001,-64.889999,147.170685,-140.602966,-6.567719,3258,8307,3519,,,,,,,,,,,,
0.374242,0,826,0,316,762,22.549999,-90.000000,181.186462,-155.791794,-25.394653,2887,11520,3520,,,,,,,,,,,,
0.413872,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.424318,0,826,0,379,733,27.350000,-90.000000,162.382019,-153.987579,-8.394440,3502,11520,3521,,,,,,,,,,,,
0.474286,0,825,0,309,764,22.070000,-90.000000,169.276230,-144.134262,-25.141968,2826,11520,3522,,,,,,,,,,,,
0.524817,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.552810,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.574372,0,829,0,332,759,23.660000,-90.000000,171.977112,-151.303650,-20.673462,3029,11520,3524,,,,,,,,,,,,
0.624491,0,827,371,354,648,25.410000,-60.189999,141.077057,-137.475922,-3.601135,3253,7705,3525,,,,,,,,,,,,
0.674438,0,826,0,323,759,23.059999,-90.000000,171.744537,-149.235703,-22.508820,2952,11520,3526,,,,,,,,,,,,
0.724541,0,825,220,349,713,25.080000,-72.830002,155.751709,-143.992859,-11.758850,3211,9323,3527,,,,,,,,,,,,
0.744825,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.774531,0,825,0,314,762,22.440001,-90.000000,180.402832,-154.766388,-25.636444,2873,11520,3528,,,,,,,,,,,,
0.802819,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.832813,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.874507,0,823,0,298,767,21.250000,-90.000000,178.530899,-149.443207,-29.087692,2721,11520,3530,,,,,,,,,,,,
0.924662,0,828,94,397,719,28.719999,-82.519997,156.494141,-153.193466,-3.300659,3677,10563,3531,,,,,,,,,,,,
0.956830,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
0.974660,0,822,240,375,690,27.200001,-70.800003,151.185501,-146.886658,-4.298828,3482,9063,3532,,,,,,,,,,,,
1.024605,0,824,0,321,758,22.959999,-90.000000,172.824783,-149.880402,-22.944382,2940,11520,3533,,,,,,,,,,,,
1.074775,0,826,197,389,701,28.120001,-74.260002,152.792084,-149.897308,-2.894775,3600,9506,3534,,,,,,,,,,,,
1.076833,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143050000000,-1,0,-179000
1.124708,0,827,0,336,755,24.000000,-90.000000,165.156128,-146.261200,-18.894897,3072,11520,3535,,,,,,,,,,,,
1.162828,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.224769,0,823,0,340,749,24.440001,-90.000000,175.375656,-156.762131,-18.613525,3129,11520,3537,,,,,,,,,,,,
1.262839,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.274832,0,829,107,364,736,26.080000,-81.690002,159.956558,-148.550293,-11.406265,3339,10457,3538,,,,,,,,,,,,
1.324808,0,828,0,439,702,32.020000,-90.000000,152.766739,-159.180161,6.413422,4099,11520,3539,,,,,,,,,,,,
1.342834,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.374851,0,825,0,381,731,27.580000,-90.000000,161.342148,-153.696014,-7.646118,3531,11520,3540,,,,,,,,,,,,
1.424911,0,825,233,379,694,27.360001,-71.379997,151.495712,-147.419724,-4.075989,3503,9137,3541,,,,,,,,,,,,
1.452839,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.474998,0,826,249,368,695,26.500000,-70.279999,151.635117,-145.418121,-6.216995,3393,8997,3542,,,,,,,,,,,,
1.524937,0,826,0,411,716,29.889999,-90.000000,161.824127,-161.522720,-0.301392,3827,11520,3543,,,,,,,,,,,,
1.532855,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.575010,0,826,288,379,674,27.340000,-66.830002,146.990631,-145.131744,-1.858887,3500,8555,3544,,,,,,,,,,,,
1.625087,0,828,203,380,706,27.360001,-73.970001,153.642578,-148.488876,-5.153702,3503,9469,3545,,,,,,,,,,,,
1.653851,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.675101,0,827,91,348,744,24.950001,-82.980003,161.968719,-146.768250,-15.200470,3194,10622,3546,,,,,,,,,,,,
1.725039,0,824,0,282,774,20.020000,-90.000000,174.313400,-142.217789,-32.095627,2563,11520,3547,,,,,,,,,,,,
1.752847,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638658143060000000,-1,0,-179000
1.775101,0,825,0,328,756,23.500000,-90.000000,177.928436,-155.977661,-21.950806,3008,11520,3548,,,,,,,,,,,,
