Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.016326,0,830,0,261,787,18.340000,-90.000000,213.034973,-167.741882,-45.293076,2348,11520,445,,,,,,,,,,,,
0.050694,,,,,,,,,,,,,,0,1,1,0,0,485,26,37,638658146960000000,-1,0,177000
0.160691,,,,,,,,,,,,,,0,1,1,0,0,485,26,37,638658146960000000,-1,0,177000
0.166462,0,827,334,15,756,1.090000,-66.129997,164.594818,-85.315063,-79.279755,140,8465,448,,,,,,,,,,,,
0.268693,,,,,,,,,,,,,,-1,1,1,0,0,485,26,37,638658146960000000,-1,0,177000
0.360689,,,,,,,,,,,,,,-1,1,1,0,0,485,26,37,638658146960000000,-1,0,177000
0.366482,0,828,0,108,820,7.550000,-90.000000,183.474823,-112.844208,-70.630615,967,11520,452,,,,,,,,,,,,
0.507721,,,,,,,,,,,,,,-1,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.516583,0,830,79,113,818,7.830000,-84.470001,177.492310,-110.017853,-67.474457,1003,10813,455,,,,,,,,,,,,
0.592705,,,,,,,,,,,,,,-1,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.656694,,,,,,,,,,,,,,-1,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.666693,0,829,318,48,763,3.350000,-67.349998,165.849594,-92.074493,-73.775108,430,8622,458,,,,,,,,,,,,
0.756702,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.766713,0,830,295,89,770,6.210000,-69.000000,167.054138,-100.432068,-66.622078,796,8832,460,,,,,,,,,,,,
0.816674,0,827,0,95,821,6.620000,-90.000000,187.574753,-112.697052,-74.877693,848,11520,461,,,,,,,,,,,,
0.880720,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.957713,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
0.966762,0,829,0,89,824,6.180000,-90.000000,180.991959,-107.513077,-73.478889,792,11520,464,,,,,,,,,,,,
1.016888,0,829,395,-63,726,-4.400000,-61.450001,157.671127,-66.838074,-90.833069,564,7866,465,,,,,,,,,,,,
1.056712,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
1.116890,0,829,348,54,750,3.770000,-65.120003,162.952026,-91.762909,-71.189117,483,8336,467,,,,,,,,,,,,
1.172746,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658146970000000,-1,0,177000
