Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.013483,0,833,0,393,734,28.200001,-90.000000,176.561722,-170.333191,-6.228516,3610,11520,1376,,,,,,,,,,,,
0.019918,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133980000000,-1,0,179000
0.063537,0,832,0,465,689,34.009998,-90.000000,152.061188,-164.949646,12.888458,4354,11520,1377,,,,,,,,,,,,
0.113511,0,829,0,383,734,27.580000,-90.000000,173.193710,-164.996277,-8.197433,3531,11520,1378,,,,,,,,,,,,
0.163570,0,832,0,412,722,29.719999,-90.000000,173.710892,-172.769440,-0.941467,3805,11520,1379,,,,,,,,,,,,
0.166919,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133990000000,-1,0,179000
0.170911,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133990000000,-1,0,179000
0.213614,0,829,0,399,726,28.820000,-90.000000,166.184998,-162.317825,-3.867172,3690,11520,1380,,,,,,,,,,,,
0.254926,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133990000000,-1,0,179000
0.263716,0,828,196,436,675,31.780001,-73.820000,146.940216,-155.599579,8.659348,4069,9450,1381,,,,,,,,,,,,
0.313624,0,829,0,441,701,32.139999,-90.000000,162.496613,-169.706329,7.209717,4115,11520,1382,,,,,,,,,,,,
0.352924,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133990000000,-1,0,179000
0.363721,0,831,0,400,728,28.820000,-90.000000,168.946304,-165.040436,-3.905884,3690,11520,1383,,,,,,,,,,,,
0.413706,0,831,0,436,707,31.650000,-90.000000,166.715179,-172.404587,5.689392,4052,11520,1384,,,,,,,,,,,,
0.463748,0,832,0,456,695,33.250000,-90.000000,154.637604,-165.146103,10.508484,4256,11520,1385,,,,,,,,,,,,
0.513824,0,828,0,444,698,32.500000,-90.000000,162.202972,-170.612701,8.409714,4160,11520,1386,,,,,,,,,,,,
0.563833,0,832,0,360,749,25.660000,-90.000000,179.325485,-164.312683,-15.012787,3285,11520,1387,,,,,,,,,,,,
0.596937,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638658133990000000,-1,0,179000
0.613886,0,830,0,416,717,30.120001,-90.000000,163.761703,-164.196838,0.435135,3856,11520,1388,,,,,,,,,,,,
0.663902,0,831,0,442,703,32.139999,-90.000000,160.304581,-167.421219,7.116638,4115,11520,1389,,,,,,,,,,,,
