Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.016370,0,831,0,391,732,28.139999,-90.000000,167.039581,-160.948547,-6.091034,3603,11520,8481,,,,,,,,,,,,
0.066373,0,833,0,399,730,28.680000,-90.000000,163.443726,-159.206284,-4.237427,3672,11520,8482,,,,,,,,,,,,
0.076773,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137540000000,-1,0,175000
0.116422,0,833,0,393,734,28.209999,-90.000000,162.903824,-157.163834,-5.739990,3612,11520,8483,,,,,,,,,,,,
0.166502,0,833,226,398,695,28.549999,-71.940002,150.312119,-149.699890,-0.612213,3655,9209,8484,,,,,,,,,,,,
0.175768,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137540000000,-1,0,175000
0.216583,0,831,215,410,689,29.610001,-72.669998,149.387558,-151.740280,2.352722,3791,9303,8485,,,,,,,,,,,,
0.266590,0,834,109,407,719,29.219999,-81.330002,155.285980,-153.772095,-1.513885,3741,10411,8486,,,,,,,,,,,,
0.316596,0,834,143,388,723,27.799999,-78.779999,156.172028,-150.820251,-5.351776,3559,10085,8487,,,,,,,,,,,,
0.319792,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137540000000,-1,0,175000
0.375766,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137540000000,-1,0,175000
0.416590,0,831,0,367,745,26.219999,-90.000000,174.072678,-161.322296,-12.750366,3357,11520,8489,,,,,,,,,,,,
0.466715,0,832,161,404,708,29.100000,-77.169998,153.339706,-152.515427,-0.824280,3726,9879,8490,,,,,,,,,,,,
0.475774,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137540000000,-1,0,175000
0.516635,0,836,0,337,764,23.799999,-90.000000,172.844421,-152.480820,-20.363602,3047,11520,8491,,,,,,,,,,,,
0.566701,0,834,0,354,754,25.180000,-90.000000,177.517578,-161.090424,-16.427124,3224,11520,8492,,,,,,,,,,,,
0.576777,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
0.616700,0,831,0,427,712,31.000000,-90.000000,156.083374,-159.318588,3.235229,3969,11520,8493,,,,,,,,,,,,
0.666853,0,834,253,366,704,26.080000,-70.230003,152.131226,-144.642166,-7.489044,3339,8990,8494,,,,,,,,,,,,
0.676784,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
0.716789,0,835,0,291,782,20.410000,-90.000000,184.287354,-151.579468,-32.707886,2613,11520,8495,,,,,,,,,,,,
0.766782,0,832,0,410,723,29.570000,-90.000000,157.518311,-156.195969,-1.322327,3786,11520,8496,,,,,,,,,,,,
0.816935,0,833,392,389,622,27.889999,-57.779999,134.598236,-140.244141,5.645920,3571,7397,8497,,,,,,,,,,,,
0.866869,0,837,0,343,763,24.200001,-90.000000,177.218369,-157.629639,-19.588745,3098,11520,8498,,,,,,,,,,,,
0.916913,0,833,0,337,761,23.870001,-90.000000,177.121216,-156.485870,-20.635376,3056,11520,8499,,,,,,,,,,,,
0.924791,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
0.935772,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
0.967019,0,831,120,412,711,29.750000,-80.349998,154.053711,-154.408142,0.354416,3809,10286,8500,,,,,,,,,,,,
0.999782,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
1.016951,0,480,0,223,424,27.780001,-90.000000,163.119904,-156.019989,-7.099899,3557,11520,8501,,,,,,,,,,,,
1.066990,0,836,0,348,759,24.650000,-90.000000,179.415131,-161.072220,-18.342896,3156,11520,8502,,,,,,,,,,,,
1.078789,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
1.117052,0,835,0,325,768,22.959999,-90.000000,181.511993,-157.411194,-24.100800,2940,11520,8503,,,,,,,,,,,,
1.167044,0,832,0,345,757,24.510000,-90.000000,177.085419,-158.503311,-18.582092,3138,11520,8504,,,,,,,,,,,,
1.176788,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638658137550000000,-1,0,175000
1.217102,0,833,0,388,736,27.799999,-90.000000,164.809906,-157.718826,-7.091064,3559,11520,8505,,,,,,,,,,,,
1.267201,0,829,195,420,686,30.500000,-74.089996,149.147446,-153.718109,4.570663,3905,9484,8506,,,,,,,,,,,,
