Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.075765,,,,,,,,,,,,,,-72,-9,1,0,3,485,26,37,638657288020000000,-1,0,170000
0.188782,,,,,,,,,,,,,,-72,-9,1,0,3,485,26,37,638657288020000000,-1,0,170000
0.284808,,,,,,,,,,,,,,-72,-9,1,0,3,485,26,37,638657288020000000,-1,0,170000
0.373781,,,,,,,,,,,,,,-72,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.501797,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.581780,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.673778,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.773798,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.893805,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
0.979789,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
1.078798,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
1.182814,,,,,,,,,,,,,,-71,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
1.274804,,,,,,,,,,,,,,-70,-9,1,0,3,485,26,37,638657288030000000,-1,0,170000
1.385813,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.488801,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.581800,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.680794,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.785821,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.874813,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
1.977815,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
2.086220,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
2.178812,,,,,,,,,,,,,,-70,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
2.284845,,,,,,,,,,,,,,-71,-10,1,0,3,485,26,37,638657288040000000,-1,0,170000
2.440822,,,,,,,,,,,,,,-71,-10,1,0,3,485,26,37,638657288050000000,-1,0,170000
