Time[s],145uwb_fob_location_rssi,145uwb_fob_location_distance,145uwb_fob_location_z,145uwb_fob_location_y,145uwb_fob_location_x,145uwb_fob_location_theta,145uwb_fob_location_phi,145uwb_fob_location_pdoa20,145uwb_fob_location_pdoa12,145uwb_fob_location_pdoa01,145uwb_fob_location_ele,145uwb_fob_location_azi,145uwb_fob_location_index,146uwb_fob_location_rssi,146uwb_fob_location_distance,146uwb_fob_location_z,146uwb_fob_location_y,146uwb_fob_location_x,146uwb_fob_location_theta,146uwb_fob_location_phi,146uwb_fob_location_pdoa20,146uwb_fob_location_pdoa12,146uwb_fob_location_pdoa01,146uwb_fob_location_ele,146uwb_fob_location_azi,146uwb_fob_location_index,CarSts::Carsts_Y,CarSts::Carsts_X,CarSts::Carsts_TestSts,CarSts::Carsts_RobotTaskID,CarSts::Carsts_RobotInMotion,CarSts::Carsts_Robot_Z,CarSts::Carsts_Robot_Y,CarSts::Carsts_Robot_X,CarSts::Carsts_RealTi,CarSts::CarSts_CarTaskID,CarSts::Carsts_CarInMotion,CarSts::Carsts_Angle
0.050426,0,224,128,175,53,51.59,-22.57,42.936188,-143.644531,100.708344,6604,2890,1474,,,,,,,,,,,,,,,,,,,,,,,,,
0.051852,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.053302,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.056658,,,,,,,,,,,,,,0,310,0,-293,98,-71.449997,-90,67.668205,140.977661,-208.645844,9146,11520,278,,,,,,,,,,,,
0.150371,0,224,0,175,-139,51.470001,90,-155.915924,-91.689514,247.605469,6589,11520,1475,,,,,,,,,,,,,,,,,,,,,,,,,
0.156743,,,,,,,,,,,,,,0,312,0,-294,103,-70.690002,-90,69.242561,136.65274,-205.895309,9049,11520,279,,,,,,,,,,,,
0.168754,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.250435,0,225,0,210,79,69.260002,-90,73.82399,-205.912964,132.088959,8866,11520,1476,,,,,,,,,,,,,,,,,,,,,,,,,
0.270757,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.350514,0,223,0,221,24,83.730003,-90,23.511002,-197.396606,173.88562,10718,11520,1477,,,,,,,,,,,,,,,,,,,,,,,,,
0.356801,,,,,,,,,,,,,,0,315,0,-301,91,-73.07,-90,61.894653,145.344162,-207.238815,9354,11520,281,,,,,,,,,,,,
0.377759,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.450594,0,225,218,-52,-15,-13.42,3.97,-12.18158,42.315063,-30.133484,1719,509,1478,,,,,,,,,,,,,,,,,,,,,,,,,
0.456877,,,,,,,,,,,,,,0,318,0,-304,90,-73.400002,-90,59.720764,143.821732,-203.54248,9396,11520,282,,,,,,,,,,,,
0.489767,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.550631,0,224,220,10,37,2.75,-9.64,30.165405,-22.600281,-7.565125,353,1235,1479,,,,,,,,,,,,,,,,,,,,,,,,,
0.556956,,,,,,,,,,,,,,0,309,0,-293,96,-71.839996,-90,69.474709,148.814545,-218.289261,9196,11520,283,,,,,,,,,,,,
0.598816,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.657004,,,,,,,,,,,,,,0,310,0,-292,103,-70.519997,-90,69.636276,135.815155,-205.451447,9027,11520,284,,,,,,,,,,,,
0.705773,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,1,0,0,485,26,37,638791094100000000,-1,0,176000
0.750806,0,228,213,78,14,20.219999,-3.82,11.290363,-59.562012,48.271637,2589,490,1481,,,,,,,,,,,,,,,,,,,,,,,,,
0.757097,,,,,,,,,,,,,,0,311,0,-294,99,-71.300003,-90,71.069031,146.492889,-217.56192,9127,11520,285,,,,,,,,,,,,
0.810778,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,1,0,0,485,26,37,638791094110000000,-1,0,176000
0.850805,0,228,0,220,58,75.169998,-90,47.355354,-178.784027,131.42868,9623,11520,1482,,,,,,,,,,,,,,,,,,,,,,,,,
