Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.008072,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996100000000,-1,0,177000
0.127060,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996100000000,-1,0,177000
0.231067,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996100000000,-1,0,177000
0.326137,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.394243,0,304,123,-256,105,-57.680000,-40.470001,62.449081,100.537018,-162.986099,7384,5181,813,,,,,,,,,,,,
0.423081,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.585078,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.643152,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.731076,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.744423,0,311,141,-272,51,-61.110001,-20.020000,29.773300,121.622726,-151.396027,7823,2563,820,,,,,,,,,,,,
0.824091,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
0.844448,0,309,138,-260,93,-57.349998,-33.959999,54.254272,104.142120,-158.396408,7342,4348,822,,,,,,,,,,,,
0.944513,0,322,170,-259,85,-53.680000,-26.780001,48.053680,101.591827,-149.645508,6872,3429,824,,,,,,,,,,,,
0.989101,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
1.087090,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
1.094595,0,308,176,-243,67,-52.130001,-21.040001,39.680252,103.241409,-142.921661,6673,2694,827,,,,,,,,,,,,
1.192094,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
1.251084,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996110000000,-1,0,177000
1.344695,0,306,135,-254,101,-56.380001,-36.680000,59.522156,100.076912,-159.599060,7217,4696,832,,,,,,,,,,,,
1.399102,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996120000000,-1,0,177000
1.494776,0,314,153,-262,78,-56.660000,-27.049999,44.995445,107.757523,-152.752960,7253,3463,835,,,,,,,,,,,,
1.527098,,,,,,,,,,,,,,56,-38,1,0,0,485,26,37,638658996120000000,-1,0,177000
