sessionNumber,PdoaFirst,PdoaSecond,PdoaThird,AoAElevation,AoAAzimuth,Distance,x,y,z,DstPdoaFirst,DstPdoaSecond,DstPdoaThird,RSSI,timestamp
106973,145.51,17.26,-162.78,81.43,-40.15,790,75,781,89,0.0,0.0,0.0,0.0,1720783105170
106974,148.26,29.16,-177.42,81.17,-90.0,791,121,781,0,0.0,0.0,0.0,0.0,1720783105219
106977,179.16,-6.53,-172.63,88.14,90.0,790,-25,789,0,0.0,0.0,0.0,0.0,1720783105370
106978,149.53,37.16,-186.7,79.15,-90.0,791,148,776,0,0.0,0.0,0.0,0.0,1720783105420
106979,151.69,11.02,-162.72,86.51,-90.0,787,47,785,0,0.0,0.0,0.0,0.0,1720783105469
106981,123.48,47.74,-171.22,70.94,-54.35,791,209,747,150,0.0,0.0,0.0,0.0,1720783105570
106982,151.91,7.47,-159.39,86.85,-49.52,789,32,787,28,0.0,0.0,0.0,0.0,1720783105619
106983,144.23,23.72,-167.96,82.5,-90.0,791,103,784,0,0.0,0.0,0.0,0.0,1720783105669
106984,161.51,-1.16,-160.35,89.63,90.0,790,-5,789,0,0.0,0.0,0.0,0.0,1720783105719
106985,154.61,9.5,-164.11,87.03,-90.0,789,40,787,0,0.0,0.0,0.0,0.0,1720783105772
106986,165.48,-3.04,-162.44,89.06,90.0,789,-12,788,0,0.0,0.0,0.0,0.0,1720783105820
106987,134.64,21.32,-155.97,68.76,-19.09,790,93,736,270,0.0,0.0,0.0,0.0,1720783105870
106988,146.78,25.84,-172.62,82.01,-90.0,792,110,784,0,0.0,0.0,0.0,0.0,1720783105919
106989,156.96,8.95,-165.92,87.23,-90.0,789,38,788,0,0.0,0.0,0.0,0.0,1720783105969
106990,146.51,20.72,-167.24,83.46,-90.0,789,89,783,0,0.0,0.0,0.0,0.0,1720783106020
106991,176.23,7.22,-183.45,88.0,-90.0,790,27,789,0,0.0,0.0,0.0,0.0,1720783106072
106993,131.56,22.42,-153.99,66.32,-18.07,789,98,722,301,0.0,0.0,0.0,0.0,1720783106174
106994,141.46,36.66,-178.13,78.75,-90.0,792,154,776,0,0.0,0.0,0.0,0.0,1720783106220
106995,157.68,6.09,-163.78,88.11,-90.0,791,26,790,0,0.0,0.0,0.0,0.0,1720783106273
106996,140.87,32.38,-173.25,79.86,-90.0,791,139,778,0,0.0,0.0,0.0,0.0,1720783106322
106997,155.56,16.97,-172.54,84.86,-90.0,789,70,785,0,0.0,0.0,0.0,0.0,1720783106368
106998,155.31,20.29,-175.61,83.92,-90.0,789,83,784,0,0.0,0.0,0.0,0.0,1720783106421
107000,152.79,10.92,-163.72,86.56,-90.0,788,47,786,0,0.0,0.0,0.0,0.0,1720783106519
107004,152.52,15.77,-168.29,85.12,-90.0,788,67,785,0,0.0,0.0,0.0,0.0,1720783106719
107005,168.8,8.23,-177.03,87.62,-90.0,790,32,789,0,0.0,0.0,0.0,0.0,1720783106771
107006,149.41,24.25,-173.67,82.58,-90.0,789,101,782,0,0.0,0.0,0.0,0.0,1720783106821
107007,123.07,23.16,-146.24,59.75,-14.79,791,101,683,385,0.0,0.0,0.0,0.0,1720783106869
107008,156.15,22.04,-178.19,83.47,-90.0,790,89,784,0,0.0,0.0,0.0,0.0,1720783106921
