Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.027919,0,101,96,28,-7,16.120001,4.460000,-13.500558,-36.565430,50.066010,2064,572,2191,,,,,,,,,,,,
0.076758,,,,,,,,,,,,,,1,0,1,0,0,485,26,37,638657955660000000,-1,0,-177000
0.077960,0,98,88,42,-3,26.000000,2.270000,-6.458130,-65.134064,71.592194,3329,291,2192,,,,,,,,,,,,
0.127968,0,102,93,40,-5,23.690001,3.330000,-9.614491,-57.851105,67.465576,3033,427,2193,,,,,,,,,,,,
0.140753,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.177992,0,101,96,28,-4,16.540001,2.400000,-7.281319,-40.787689,48.069000,2118,308,2194,,,,,,,,,,,,
0.228073,0,99,94,29,-4,17.500000,2.700000,-8.135002,-42.851578,50.986572,2241,346,2195,,,,,,,,,,,,
0.278082,0,99,97,18,-5,10.890000,3.030000,-9.393372,-24.785034,34.178406,1395,389,2196,,,,,,,,,,,,
0.293758,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.328074,0,100,96,25,-4,14.720000,2.570000,-7.863846,-35.724518,43.588379,1885,330,2197,,,,,,,,,,,,
0.378150,0,101,98,22,-3,12.750000,2.200000,-6.794199,-31.055756,37.849945,1633,282,2198,,,,,,,,,,,,
0.388758,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.428167,0,102,91,44,-5,25.730000,3.730000,-10.577682,-62.425232,73.002930,3294,478,2199,,,,,,,,,,,,
0.456765,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.478199,0,102,100,16,-4,9.420000,2.660000,-8.278770,-21.423279,29.702026,1207,341,2200,,,,,,,,,,,,
0.528280,0,100,90,43,-5,25.590000,3.340000,-9.501404,-62.618790,72.120178,3276,428,2201,,,,,,,,,,,,
0.576806,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.578268,0,101,91,42,-4,24.750000,2.950000,-8.462570,-61.072571,69.535156,3169,378,2202,,,,,,,,,,,,
0.628284,0,101,97,26,-3,15.080000,2.340000,-7.151081,-37.010468,44.161560,1931,300,2203,,,,,,,,,,,,
0.671762,,,,,,,,,,,,,,0,0,1,0,0,485,26,37,638657955670000000,-1,0,-177000
0.678344,0,104,96,37,-7,21.150000,4.660000,-13.682976,-49.438782,63.121765,2708,597,2204,,,,,,,,,,,,
