Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.034842,0,99,97,-17,1,-10.000000,-1.120000,3.502995,25.336365,-28.839355,1280,144,1472,,,,,,,,,,,,
0.084828,0,99,98,-10,0,-5.970000,-0.000000,2.890266,14.804993,-17.695251,765,1,1473,,,,,,,,,,,,
0.134887,0,100,91,-40,0,-23.889999,0.000000,1.199303,62.580231,-63.779541,3059,0,1474,,,,,,,,,,,,
0.184937,0,97,94,-22,0,-13.300000,0.000000,2.066078,34.874695,-36.940765,1703,0,1475,,,,,,,,,,,,
0.234919,0,97,94,-20,0,-12.280000,0.000000,-0.125099,33.269882,-33.144791,1573,0,1476,,,,,,,,,,,,
0.284973,0,98,94,-27,0,-16.000000,0.000000,0.937386,42.532089,-43.469467,2049,0,1477,,,,,,,,,,,,
0.335061,0,98,82,-53,0,-32.810001,0.000000,1.452118,83.772346,-85.224464,4200,0,1478,,,,,,,,,,,,
0.585044,0,99,97,-17,0,-10.380000,0.000000,2.355840,26.952789,-29.308640,1329,0,1483,,,,,,,,,,,,
0.635149,0,99,95,-25,0,-14.840000,0.000000,1.651390,39.134995,-40.786392,1900,0,1484,,,,,,,,,,,,
0.685170,0,98,96,-18,1,-10.910000,-1.000000,3.098179,27.994690,-31.092896,1397,128,1485,,,,,,,,,,,,
0.735187,0,98,93,-30,0,-18.309999,0.000000,1.396835,48.309692,-49.706528,2344,0,1486,,,,,,,,,,,,
0.885247,0,101,98,-21,0,-12.450000,0.000000,2.117416,32.576172,-34.693573,1594,0,1489,,,,,,,,,,,,
0.935300,0,98,97,-2,0,-1.170000,0.000000,2.355583,2.035553,-4.391129,151,0,1490,,,,,,,,,,,,
0.985312,0,99,88,-43,2,-26.280001,-1.440000,4.108490,67.004517,-71.113007,3365,185,1491,,,,,,,,,,,,
1.035360,0,98,94,-26,0,-15.690000,0.000000,0.454300,41.968323,-42.422623,2009,0,1492,,,,,,,,,,,,
1.135386,0,98,95,-21,0,-12.810000,0.000000,1.017776,34.086502,-35.104279,1640,0,1494,,,,,,,,,,,,
1.185384,0,98,95,-21,2,-12.860000,-1.670000,5.174156,32.153046,-37.327194,1647,215,1495,,,,,,,,,,,,
1.235485,0,99,96,-21,0,-12.500000,0.000000,1.949524,32.812042,-34.761566,1601,0,1496,,,,,,,,,,,,
1.285512,0,99,85,-50,1,-30.690001,-1.150000,3.155228,78.017761,-81.173004,3929,148,1497,,,,,,,,,,,,
1.335525,0,100,94,-32,0,-18.980000,-0.000000,2.368561,49.552948,-51.921509,2430,1,1498,,,,,,,,,,,,
1.435557,0,100,94,-32,2,-18.770000,-1.520000,4.558472,47.927872,-52.486343,2403,195,1500,,,,,,,,,,,,
1.485594,0,99,90,-40,2,-24.190001,-1.630000,4.700043,61.563446,-66.263489,3097,209,1501,,,,,,,,,,,,
1.535615,0,99,96,-23,0,-13.550000,-0.000000,2.756958,35.171707,-37.928665,1735,1,1502,,,,,,,,,,,,
1.585696,0,99,90,-41,1,-24.500000,-1.010000,2.920334,63.224915,-66.145264,3137,130,1503,,,,,,,,,,,,
1.635686,0,98,94,-25,1,-14.790000,-1.070000,3.288950,38.195892,-41.484848,1894,138,1504,,,,,,,,,,,,
1.685738,0,100,83,-54,1,-33.119999,-1.210000,3.217712,83.595276,-86.812988,4240,156,1505,,,,,,,,,,,,
1.735755,0,99,97,-17,2,-10.370000,-1.580000,4.913891,25.655853,-30.569763,1328,203,1506,,,,,,,,,,,,
1.785797,0,101,96,-30,0,-17.520000,0.000000,1.528244,46.214539,-47.742767,2243,0,1507,,,,,,,,,,,,
1.835852,0,99,85,-49,2,-30.219999,-1.700000,4.644073,76.180267,-80.824341,3869,218,1508,,,,,,,,,,,,
1.885868,0,99,86,-48,2,-29.570000,-1.690000,4.644180,74.643524,-79.287704,3786,217,1509,,,,,,,,,,,,
1.935873,0,99,91,-37,1,-22.290001,-1.200000,3.518951,57.411224,-60.930176,2854,154,1510,,,,,,,,,,,,
1.985905,0,99,97,-14,0,-8.370000,0.000000,1.435097,22.006104,-23.441193,1072,0,1511,,,,,,,,,,,,
2.035937,0,99,98,-12,0,-7.540000,0.000000,-0.792572,20.896790,-20.104218,966,0,1512,,,,,,,,,,,,
2.135945,0,98,95,-23,0,-13.830000,0.000000,1.639275,36.487061,-38.126343,1771,0,1514,,,,,,,,,,,,
2.186015,0,99,95,-24,0,-14.590000,0.000000,0.283127,39.159119,-39.442230,1868,0,1515,,,,,,,,,,,,
2.236018,0,99,94,-29,1,-17.389999,-1.040000,3.167313,45.038544,-48.205856,2227,134,1516,,,,,,,,,,,,
2.286088,0,99,85,-49,0,-30.299999,-0.000000,2.232918,77.559395,-79.792313,3879,1,1517,,,,,,,,,,,,
2.336134,0,99,85,-50,2,-30.580000,-1.360000,3.727234,77.474091,-81.201324,3915,175,1518,,,,,,,,,,,,
