Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.135183,0,104,68,77,-2,48.570000,2.080000,-4.361614,-114.722595,119.084198,6218,267,2696,,,,,,,,,,,,
0.165787,,,,,,,,,,,,,,-1,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.167263,,,,,,,,,,,,,,-1,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.168682,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.170126,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.185177,0,103,74,70,-4,43.180000,3.610000,-8.296650,-102.543152,110.839783,5528,463,2697,,,,,,,,,,,,
0.204763,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.265769,,,,,,,,,,,,,,-2,0,1,0,0,485,26,37,638658088920000000,-1,0,-175999
0.335258,0,104,72,74,-2,46.060001,1.750000,-3.823029,-110.364227,114.187256,5896,224,2700,,,,,,,,,,,,
0.363768,,,,,,,,,,,,,,-3,-1,1,0,0,485,26,37,638658088930000000,-1,0,-175999
0.385304,0,103,86,55,-3,32.840000,2.180000,-5.799263,-81.677979,87.477234,4204,280,2701,,,,,,,,,,,,
0.435329,0,101,83,56,-5,34.349998,3.550000,-9.230537,-83.374573,92.605133,4398,455,2702,,,,,,,,,,,,
0.464805,,,,,,,,,,,,,,-3,-1,1,0,0,485,26,37,638658088930000000,-1,0,-175999
0.485363,0,102,79,64,-6,38.980000,4.710000,-11.517754,-92.339203,103.856964,4990,604,2703,,,,,,,,,,,,
0.535385,0,102,74,69,-2,43.180000,1.580000,-3.643837,-104.885452,108.529297,5528,203,2704,,,,,,,,,,,,
0.568773,,,,,,,,,,,,,,-3,-1,1,0,0,485,26,37,638658088930000000,-1,0,-175999
0.585426,0,103,81,57,-24,34.099998,16.959999,-43.514725,-65.675659,109.190384,4366,2172,2705,,,,,,,,,,,,
0.635454,0,104,58,85,-7,55.380001,7.370000,-13.142288,-121.731461,134.873749,7089,944,2706,,,,,,,,,,,,
0.656772,,,,,,,,,,,,,,-3,-1,1,0,0,485,26,37,638658088930000000,-1,0,-175999
0.685461,0,103,81,62,-4,37.400002,3.340000,-8.363092,-90.542114,98.905212,4788,428,2707,,,,,,,,,,,,
0.735522,0,103,74,70,-4,43.230000,3.560000,-8.185745,-102.712921,110.898682,5534,456,2708,,,,,,,,,,,,
