Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.027000,0,91,41,54,-60,36.400002,55.330002,-119.153961,-32.964111,152.118073,4660,7083,11287,,,,,,,,,,,,
0.067486,,,,,,,,,,,,,,1,1,0,0,0,485,26,37,638658081380000000,-1,0,-177000
0.127036,0,93,31,45,-74,29.459999,67.089996,-144.368042,-4.509201,148.877258,3772,8588,11289,,,,,,,,,,,,
0.154492,,,,,,,,,,,,,,1,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.215484,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.322492,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.327143,0,92,39,43,-70,28.120001,60.810001,-138.591156,-4.214447,142.805618,3600,7784,11293,,,,,,,,,,,,
0.475504,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.477245,0,91,16,34,-82,22.000000,78.910004,-163.768494,23.455940,140.312531,2817,10101,11296,,,,,,,,,,,,
0.527252,0,91,40,44,-67,29.500000,58.900002,-134.144287,-9.732361,143.876648,3777,7540,11297,,,,,,,,,,,,
0.575494,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.618488,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.677325,0,92,11,42,-80,27.260000,82.010002,-158.441040,7.783600,150.657440,3490,10498,11300,,,,,,,,,,,,
0.722507,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.814576,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.927437,0,91,12,55,-71,37.270000,80.419998,-141.225281,-23.814697,165.039963,4771,10295,11305,,,,,,,,,,,,
0.948515,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
0.977465,0,93,41,41,-71,26.450001,59.840000,-139.351440,0.215317,139.136124,3386,7660,11306,,,,,,,,,,,,
1.027484,0,91,4,60,-67,41.910000,85.940002,-133.599792,-37.346039,170.945831,5365,11001,11307,,,,,,,,,,,,
1.058502,,,,,,,,,,,,,,2,1,0,0,0,485,26,37,638658081390000000,-1,0,-177000
1.077540,0,92,35,39,-75,25.209999,64.589996,-147.109161,7.127777,139.981384,3228,8268,11308,,,,,,,,,,,,
