Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.024805,0,132,0,-129,24,-79.370003,-90.000000,36.915253,152.081757,-188.997009,10160,11520,56776,,,,,,,,,,,,
0.046683,,,,,,,,,,,,,,3,0,0,0,0,485,26,37,638658985460000000,-1,0,3000
0.074820,0,132,0,-128,31,-76.290001,-90.000000,46.852558,143.144409,-189.996979,9766,11520,56777,,,,,,,,,,,,
0.124858,0,130,0,-128,22,-80.220001,-90.000000,34.230202,155.142242,-189.372437,10269,11520,56778,,,,,,,,,,,,
0.150688,,,,,,,,,,,,,,3,0,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.224896,0,132,0,-129,27,-78.169998,-90.000000,41.408615,150.691650,-192.100266,10007,11520,56780,,,,,,,,,,,,
0.274945,0,131,0,-129,22,-80.059998,-90.000000,36.532585,162.625183,-199.157776,10248,11520,56781,,,,,,,,,,,,
0.279692,,,,,,,,,,,,,,3,0,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.324982,0,130,0,-127,24,-79.120003,-90.000000,38.900116,155.988281,-194.888382,10128,11520,56782,,,,,,,,,,,,
0.375006,0,132,0,-128,28,-77.720001,-90.000000,42.789913,149.022598,-191.812515,9949,11520,56783,,,,,,,,,,,,
0.404688,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.425035,0,132,0,-130,21,-80.419998,-90.000000,34.312286,159.267273,-193.579559,10295,11520,56784,,,,,,,,,,,,
0.446689,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.569677,,,,,,,,,,,,,,2,0,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.575118,0,133,0,-130,25,-78.900002,-90.000000,38.493423,150.863770,-189.357193,10100,11520,56787,,,,,,,,,,,,
0.625127,0,131,0,-128,24,-79.250000,-90.000000,38.583260,156.814941,-195.398193,10144,11520,56788,,,,,,,,,,,,
0.636695,,,,,,,,,,,,,,2,-1,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.675156,0,130,0,-127,23,-79.650002,-90.000000,36.277390,154.139587,-190.416977,10196,11520,56789,,,,,,,,,,,,
0.725180,0,132,0,-129,27,-77.820000,-90.000000,42.890491,150.915039,-193.805542,9962,11520,56790,,,,,,,,,,,,
0.775232,0,131,0,-127,28,-77.599998,-90.000000,43.722595,150.623962,-194.346558,9934,11520,56791,,,,,,,,,,,,
0.778694,,,,,,,,,,,,,,2,-1,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.825263,0,131,0,-127,31,-75.980003,-90.000000,48.223579,143.268646,-191.492233,9726,11520,56792,,,,,,,,,,,,
0.836693,,,,,,,,,,,,,,1,-1,0,0,0,485,26,37,638658985470000000,-1,0,3000
0.875323,0,129,0,-126,25,-78.690002,-90.000000,41.145454,157.760773,-198.906235,10073,11520,56793,,,,,,,,,,,,
0.925339,0,132,0,-130,21,-80.830002,-90.000000,31.101868,151.572739,-182.674606,10347,11520,56794,,,,,,,,,,,,
0.975358,0,132,0,-129,23,-79.599998,-90.000000,35.777172,151.163559,-186.940735,10190,11520,56795,,,,,,,,,,,,
1.025392,0,130,0,-128,19,-81.339996,-90.000000,29.757980,154.533875,-184.291855,10412,11520,56796,,,,,,,,,,,,
1.033714,,,,,,,,,,,,,,1,-1,0,0,0,485,26,37,638658985470000000,-1,0,3000
1.035680,,,,,,,,,,,,,,1,-1,0,0,0,485,26,37,638658985470000000,-1,0,3000
1.075402,0,130,0,-126,27,-77.639999,-90.000000,42.374481,146.421173,-188.795654,9939,11520,56797,,,,,,,,,,,,
1.125472,0,130,0,-127,25,-78.839996,-90.000000,38.900146,151.497467,-190.397629,10092,11520,56798,,,,,,,,,,,,
1.159693,,,,,,,,,,,,,,1,-1,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.175459,0,132,0,-128,28,-77.349998,-90.000000,43.928417,147.725754,-191.654175,9902,11520,56799,,,,,,,,,,,,
1.225519,0,130,0,-127,24,-79.070000,-90.000000,37.662018,150.334351,-187.996384,10122,11520,56800,,,,,,,,,,,,
1.275549,0,132,0,-129,26,-78.290001,-90.000000,39.755344,146.514175,-186.269531,10022,11520,56801,,,,,,,,,,,,
1.325557,0,130,0,-128,18,-81.839996,-90.000000,28.330841,157.180481,-185.511292,10476,11520,56802,,,,,,,,,,,,
1.375616,0,130,0,-127,24,-79.000000,-90.000000,39.726665,157.247543,-196.974213,10112,11520,56803,,,,,,,,,,,,
1.378708,,,,,,,,,,,,,,1,-1,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.380182,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.425633,0,132,0,-129,24,-79.500000,-90.000000,36.365379,151.810638,-188.176025,10176,11520,56804,,,,,,,,,,,,
1.473714,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.475678,0,129,0,-126,25,-78.809998,-90.000000,41.293018,160.448151,-201.741165,10088,11520,56805,,,,,,,,,,,,
1.525727,0,132,0,-128,31,-76.290001,-90.000000,47.166210,144.013367,-191.179565,9766,11520,56806,,,,,,,,,,,,
1.541705,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.575737,0,130,0,-127,23,-79.449997,-90.000000,36.385986,151.255432,-187.641388,10170,11520,56807,,,,,,,,,,,,
1.625765,0,132,0,-128,29,-77.209999,-90.000000,46.731354,155.101593,-201.832947,9884,11520,56808,,,,,,,,,,,,
1.675819,0,132,0,-129,23,-79.570000,-90.000000,35.507172,149.597687,-185.104858,10186,11520,56809,,,,,,,,,,,,
1.677711,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.725844,0,129,0,-126,26,-78.279999,-90.000000,41.894157,154.202850,-196.097015,10021,11520,56810,,,,,,,,,,,,
1.775853,0,131,0,-127,31,-76.250000,-90.000000,46.682205,141.887482,-188.569687,9760,11520,56811,,,,,,,,,,,,
1.780716,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.832703,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
1.875959,0,129,0,-126,26,-78.290001,-90.000000,41.613625,153.299988,-194.913605,10022,11520,56813,,,,,,,,,,,,
1.925985,0,132,0,-127,35,-74.309998,-90.000000,52.823925,136.569550,-189.393463,9512,11520,56814,,,,,,,,,,,,
1.976018,0,132,0,-130,22,-80.019997,-90.000000,33.798752,149.765167,-183.563919,10243,11520,56815,,,,,,,,,,,,
1.995712,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
2.076030,0,132,0,-129,23,-79.959999,-90.000000,34.566238,152.091965,-186.658203,10236,11520,56817,,,,,,,,,,,,
2.083716,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985480000000,-1,0,3000
2.126047,0,129,0,-126,24,-79.080002,-90.000000,38.283386,153.005981,-191.289337,10123,11520,56818,,,,,,,,,,,,
2.176100,0,130,0,-128,22,-80.040001,-90.000000,36.662994,162.795929,-199.458923,10246,11520,56819,,,,,,,,,,,,
2.218747,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.226114,0,132,0,-128,30,-76.510002,-90.000000,47.130703,146.807892,-193.938599,9794,11520,56820,,,,,,,,,,,,
2.276161,0,132,0,-127,32,-75.730003,-90.000000,49.451740,143.886337,-193.338074,9694,11520,56821,,,,,,,,,,,,
2.315735,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.326204,0,132,0,-129,24,-79.169998,-90.000000,37.762100,152.304504,-190.066589,10135,11520,56822,,,,,,,,,,,,
2.335726,,,,,,,,,,,,,,1,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.376253,0,133,0,-131,22,-80.089996,-90.000000,34.682617,154.813187,-189.495804,10252,11520,56823,,,,,,,,,,,,
2.426254,0,132,0,-130,20,-81.040001,-90.000000,31.090767,155.608124,-186.698898,10374,11520,56824,,,,,,,,,,,,
2.516741,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.559721,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.576307,0,131,0,-129,22,-80.110001,-90.000000,35.945023,160.796463,-196.741486,10255,11520,56827,,,,,,,,,,,,
2.626345,0,131,0,-128,23,-79.809998,-90.000000,36.817501,159.269821,-196.087326,10216,11520,56828,,,,,,,,,,,,
2.676378,0,128,0,-126,21,-80.480003,-90.000000,34.975937,163.330536,-198.306488,10302,11520,56829,,,,,,,,,,,,
2.677796,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.726415,0,130,0,-127,26,-78.139999,-90.000000,40.946121,148.554413,-189.500549,10003,11520,56830,,,,,,,,,,,,
2.762737,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.776456,0,130,0,-127,27,-78.000000,-90.000000,43.480667,155.618408,-199.099075,9985,11520,56831,,,,,,,,,,,,
2.826495,0,130,0,-127,27,-77.930000,-90.000000,43.384537,154.243851,-197.628387,9976,11520,56832,,,,,,,,,,,,
2.876528,0,132,0,-129,23,-79.910004,-90.000000,33.909279,148.393127,-182.302399,10229,11520,56833,,,,,,,,,,,,
2.921739,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
2.926561,0,131,0,-126,35,-74.400002,-90.000000,51.821091,134.950226,-186.771332,9524,11520,56834,,,,,,,,,,,,
2.941735,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
3.076620,0,131,0,-129,20,-80.959999,-90.000000,33.851315,167.547134,-201.398453,10364,11520,56837,,,,,,,,,,,,
3.126663,0,132,0,-130,22,-80.250000,-90.000000,33.723366,153.413239,-187.136612,10273,11520,56838,,,,,,,,,,,,
3.144755,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985490000000,-1,0,3000
3.161729,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638658985500000000,-1,0,3000
