Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.006469,0,142,25,-132,45,-68.379997,-60.919998,57.942062,115.957703,-173.899765,8753,7799,1901,,,,,,,,,,,,
0.056841,,,,,,,,,,,,,,0,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.057123,0,145,21,-136,42,-70.610001,-63.130001,53.286285,120.409790,-173.696075,9039,8081,1902,,,,,,,,,,,,
0.106503,0,149,0,-142,42,-73.300003,-90.000000,51.785706,123.770874,-175.556580,9383,11520,1903,,,,,,,,,,,,
0.137831,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.156602,0,147,5,-139,45,-71.930000,-83.190002,55.391525,120.513947,-175.905472,9208,10649,1904,,,,,,,,,,,,
0.206643,0,149,40,-134,48,-64.730003,-50.200001,59.008251,111.485092,-170.493347,8286,6426,1905,,,,,,,,,,,,
0.256672,0,145,33,-134,41,-68.500000,-51.349998,51.487366,119.312653,-170.800003,8769,6574,1906,,,,,,,,,,,,
0.263888,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.339829,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.356667,0,144,0,-138,40,-73.620003,-90.000000,51.163414,125.349678,-176.513092,9424,11520,1908,,,,,,,,,,,,
0.406758,0,145,39,-130,50,-63.770000,-51.939999,62.616325,108.542702,-171.159027,8163,6649,1909,,,,,,,,,,,,
0.439854,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.456734,0,147,0,-138,48,-70.809998,-90.000000,60.513683,120.460258,-180.973938,9064,11520,1910,,,,,,,,,,,,
0.506754,0,147,0,-140,44,-72.309998,-90.000000,54.835388,121.634033,-176.469437,9256,11520,1911,,,,,,,,,,,,
0.556842,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.557124,0,139,0,-133,39,-73.330002,-90.000000,51.602875,123.544250,-175.147110,9387,11520,1912,,,,,,,,,,,,
0.606873,0,145,14,-137,43,-71.709999,-71.779999,53.628571,121.204529,-174.833084,9180,9189,1913,,,,,,,,,,,,
0.637851,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.656866,0,146,0,-138,45,-71.760002,-90.000000,57.436214,122.311203,-179.747421,9186,11520,1914,,,,,,,,,,,,
0.706858,0,146,0,-140,40,-73.970001,-90.000000,49.701866,125.086052,-174.787918,9469,11520,1915,,,,,,,,,,,,
0.756878,0,142,0,-134,46,-70.709999,-90.000000,59.589806,117.759918,-177.349731,9052,11520,1916,,,,,,,,,,,,
0.760856,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.806985,0,154,48,-136,53,-62.160000,-47.750000,62.207565,106.758911,-168.966476,7957,6113,1917,,,,,,,,,,,,
0.857060,0,148,25,-139,42,-70.389999,-59.580002,52.056152,120.832153,-172.888336,9011,7627,1918,,,,,,,,,,,,
0.888850,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
0.907079,0,141,17,-133,40,-71.669998,-66.680000,51.945587,122.015594,-173.961182,9175,8536,1919,,,,,,,,,,,,
0.957043,0,148,0,-140,45,-72.010002,-90.000000,56.604385,122.777199,-179.381592,9218,11520,1920,,,,,,,,,,,,
0.995847,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020580000000,-1,0,1000
1.007154,0,151,38,-138,47,-66.199997,-50.580002,56.092091,114.600647,-170.692734,8474,6475,1921,,,,,,,,,,,,
1.041862,,,,,,,,,,,,,,-1,0,0,0,0,485,26,37,638659020590000000,-1,0,1000
1.057173,0,144,33,-129,53,-64.110001,-57.619999,66.359673,107.073967,-173.433640,8207,7376,1922,,,,,,,,,,,,
1.107203,0,144,18,-134,47,-69.419998,-68.919998,59.005215,116.447189,-175.452408,8887,8823,1923,,,,,,,,,,,,
1.142861,,,,,,,,,,,,,,-1,-1,0,0,0,485,26,37,638659020590000000,-1,0,1000
1.157255,0,145,32,-135,40,-68.820000,-51.150002,50.630585,120.052460,-170.683044,8810,6548,1924,,,,,,,,,,,,
1.207277,0,153,57,-131,53,-59.000000,-42.750000,62.914738,102.175018,-165.089752,7552,5472,1925,,,,,,,,,,,,
1.257314,0,149,55,-127,53,-58.830002,-44.220001,64.966370,100.913132,-165.879501,7531,5661,1926,,,,,,,,,,,,
1.260860,,,,,,,,,,,,,,0,-1,0,0,0,485,26,37,638659020590000000,-1,0,1000
1.307366,0,148,28,-139,41,-70.059998,-55.180000,50.375534,121.362198,-171.737732,8968,7064,1927,,,,,,,,,,,,
