Time[s],NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_rssi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_distance,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_x,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_theta,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_phi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa20,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa12,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_pdoa01,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_ele,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_azi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CAR_UWB::uwb_fob_location_index,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_TestSts,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RobotInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Z,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_Y,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Robot_X,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_RealTi,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::CarSts_CarTaskID,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_CarInMotion,NDLB_VKM_PrivateCAN_V1.0.7_0x78_V1::CarSts::Carsts_Angle
0.033104,0,105,52,77,-46,47.750000,41.730000,-80.575569,-75.116089,155.691666,6112,5342,10342,,,,,,,,,,,,
0.040950,,,,,,,,,,,,,,-8198,-950,1,0,0,485,26,37,638658151910000000,-1,0,179000
0.083133,0,103,49,78,-44,49.560001,42.080002,-78.244156,-79.541138,157.785278,6344,5387,10343,,,,,,,,,,,,
0.133174,0,103,64,68,-42,41.400002,33.130001,-73.810471,-66.208038,140.018509,5300,4241,10344,,,,,,,,,,,,
0.183206,0,104,57,71,-48,43.599998,40.189999,-84.127068,-65.467499,149.594574,5582,5145,10345,,,,,,,,,,,,
0.233243,0,103,61,67,-47,40.700001,37.570000,-83.220001,-60.078705,143.298706,5210,4810,10346,,,,,,,,,,,,
0.283262,0,104,55,75,-44,46.880001,38.389999,-76.401573,-75.617920,152.019501,6001,4915,10347,,,,,,,,,,,,
0.383337,0,104,64,66,-46,40.080002,36.070000,-81.089897,-59.856598,140.946487,5131,4618,10349,,,,,,,,,,,,
0.457956,,,,,,,,,,,,,,-8198,-950,1,0,0,485,26,37,638658151910000000,-1,0,179000
0.459434,,,,,,,,,,,,,,-8199,-950,1,0,0,485,26,37,638658151910000000,-1,0,179000
0.460835,,,,,,,,,,,,,,-8199,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.462223,,,,,,,,,,,,,,-8199,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.483358,0,102,51,76,-43,48.619999,40.320000,-76.995377,-78.499878,155.495270,6224,5162,10351,,,,,,,,,,,,
0.533402,0,104,55,73,-47,45.310001,40.590000,-82.370758,-69.664703,152.035461,5800,5196,10352,,,,,,,,,,,,
0.560954,,,,,,,,,,,,,,-8199,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.583420,0,104,56,72,-48,44.049999,40.840000,-84.604858,-66.108368,150.713226,5639,5228,10353,,,,,,,,,,,,
0.633452,0,103,64,67,-43,41.270000,33.880001,-75.430115,-65.147217,140.577347,5283,4337,10354,,,,,,,,,,,,
0.699956,,,,,,,,,,,,,,-8200,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.733489,0,105,55,75,-48,45.759998,41.160000,-82.651550,-70.390320,153.041870,5858,5269,10356,,,,,,,,,,,,
0.738964,,,,,,,,,,,,,,-8200,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.833552,0,103,52,77,-43,48.660000,39.259998,-75.245995,-79.437927,154.683929,6229,5026,10358,,,,,,,,,,,,
0.836961,,,,,,,,,,,,,,-8200,-950,1,0,0,485,26,37,638658151920000000,-1,0,179000
0.933624,0,103,45,82,-42,52.840000,43.639999,-75.035271,-86.741089,161.776352,6764,5587,10360,,,,,,,,,,,,
